key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
APPROACH_NAME,Approach,Approche,Avvicinati,にじりよる,다가가기,Acercarse,Acercarse,Aproximar,Podejdź,Annähern,Приближение,Підкрастися
APPROACH_DESC,Approach to the enemy to increase Offense.,S'approcher de l'ennemi pour augmenter l'attaque.,Avvicinati al nemico per aumentare l'Attacco.,てきに　ちかづいてオフェンスをあげる。,적에게 먼저 다가가 오펜스가 증가한다.,Acércate al enemigo para aumentar la Ofensa.,Acercarse al enemigo para subir la Fuerza.,Aproxima-se do inimigo para aumentar o Ataque.,"Podejdź do wroga aby, zwiększyć Ofensywę.","Sich einem Gegner nähern, um den Angriff zu erhöhen.",Приближение к врагу. Усиливает атаку.,"Підкрастися до ворога, щоб підняти Атаку."
APPROACH_DIALOG,{n0}{name} approached slowly.,{n0}{name} se rapproche ¦,{n0}{name} si avvicina lentamente.,{name}は　にじりよってきた！,{name}{n0} 천천히 다가갔다.,{n0}{name} se acercó sigilosamente.,{n0}{name} se ha acercado lentamente.,{n0}{name} se aproximou lentamente.,{name} powoli podchodzi.,{n0}{n10} kam langsam näher!,{name} медленно приближается.,{name} підкрадається.
ATTACK_NAME,Bash,Frappe,Attacco,たたく,공격하기,Atacar,Atacar,Bater,Atak,Attacke,Удар,Удар
ATTACK_DESC,Deals damage to an enemy.,Infliger des dégâts à l'ennemi.,Infligge danno a un nemico.,てきに　ダメージをあたえる。,적에게 피해를 준다.,Inflige daño a un enemigo.,Inflige daño a un enemigo.,Causa dano a um inimigo.,Zadaje obrażenia wrogowi.,Fügt einem Gegner Schaden zu.,Ранит врага.,Завдає шкоди ворогу.
ATTACK_DIALOG,{n0}{name} attacks!,{n0}{name} attaque ¦,{n0}{name} attacca!,{name}の　こうげき！,{name}의 공격!,¡{n0}{name} ataca!,¡{n0}{name} ataca!,{n0}{name} ataca!,{name} atakuje!,{n0}{n10} greift an!,{name} атаку{n9}!,{name} атакує!
BASH_NAME,Bash,Frappe,Colpisci,たたく,때리기,Golpear,Golpear,Bater,Uderzenie,Attacke,Удар,Удар
BASH_DESC,Deals a low amount of damage against an enemy.,Infliger des dégâts réduits à un ennemi.,Infligge danno lieve a un nemico.,てきに　ダメージをあたえる。,적에게 약간의 피해를 준다.,Inflige una pequeña cantidad de daño contra un enemigo.,Inflige poco daño a un enemigo.,Causa uma pequena quantidade de dano a um inimigo.,Zadaje niewielkie obrażenia przeciwnikowi.,Fügt einem Gegner geringen Schaden zu.,Немного ранит врага.,Завдає невеликої шкоди ворогу.
BASH_DIALOG,{n0}{name} attacks!,{n0}{name} attaque ¦,{n0}{name} attacca!,{name}の　こうげき！,{name}의 공격!,¡{n0}{name} ataca!,¡{n0}{name} ataca!,{n0}{name} ataca!,{name} atakuje!,{n0}{n10} greift an!,{name} атаку{n9}!,{name} атакує!
BIGGRIN_NAME,Big Grin,Grand sourire,Sorrisone,ニタニタわらう,웃어주기,Gran sonrisa,Sonrisa,Sorriso,Szeroki Uśmiech,Großes Grinsen,Широкая улыбка,Широка посмішка
BIGGRIN_DESC,Display a big grin.,Faire un grand sourire.,Fai un gran sorriso a trentadue denti.,ニタニタと　いやらしくわらう。,큰 웃음을 보여준다.,Muestra una gran sonrisa.,Muestra una gran sonrisa.,Dá um largo sorriso.,Pokazuje szeroki uśmiech.,Grinst mit ganzem Gesicht,Улыбка во весь рот.,Посмішка на всі тридцять два.
BIGGRIN_DIALOG,{n0}{name} has a big grin on {n4} face!,{n0}{name} arbore un grand sourire sur son visage ¦,{n0}{name} fa un sorriso grande!,{name}は　ニタニタわらっている。,{name}{n0} 함박웃음을 지어 보였다.,¡{n0}{name} tiene una gran sonrisa en su cara!,¡{n0}{name} tiene una gran sonrisa en la cara!,{n0}{name} está com um sorriso na cara!,{name} szeroko się uśmiecha!,{n0}{n10} hatte ein breites Grinsen auf {n4}em Gesicht!,{name} широко улыбается!,{name} широко посміхається!
BITE_NAME,Bite,Morsure,Mordi,かみつく,깨물기,Mordisco,Mordisco,Morder,Ugryzienie,Biss,Укус,Укус
BITE_DESC,A bite using sharp fangs.,User de ses crocs acérés pour infliger une morsure.,Un morso con zanne affilate.,するどいキバで　かみつく。,날카로운 송곳니로 깨물어 버린다.,Un mordisco con colmillos afilados.,Un mordisco con colmillos afilados.,Uma mordida usando presas afiadas.,Ugryzienie za pomocą ostrych kłów.,Ein Biss mit scharfen Reißzähnen.,Укус острыми клыками.,Укус гострими іклами.
BITE_DIALOG,{n0}{name} bit into {t1}{target}!,{n0}{name} mord {t1}{target} ¦,{n0}{name} morde {t1}{target}!,{name}は　するどいキバで\n{target}に　かみついた！,{name}{n0} {target}{t2} 깨물었다!,¡{n0}{name} mordió {t5}{target}!,¡{n0}{name} ha mordido {t5}{target}!,{n0}{name} mordeu {t1}{target}!,{name} wgryzł{n4} się w {t3}!,{n0}{n10} biss {t5}{t13}!,{name} укусил{n6} {t3}!,{name} вкуси{n6} {t3}!
BLINDINGTHROW_NAME,Blinding Throw,Jet de poussière,Lancio accecante,すなかけ,시야 방해,Tiro cegador,Tiro cegador,Truque Cegante,Oślepiający Rzut,Erblindender Wurf,Ослепляющий бросок,Осліплюючий кидок
