key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
BATTLE_ACTION_BASH,Bash,Attaque,Attacco,たたかう,싸우기,Ataque,Atacar,Bater,Atak,Attacke,Удар,Удар
BATTLE_ACTION_SKILLS,Skills,Talents,Abilità,とくぎ,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Навыки,Навички
BATTLE_ACTION_SKILLS_NINTEN,Swings,Techniques de frappe,Swing,,스윙,Batear,Batear,Golpear,Zamachy,Schwung,Бейсбольные приёмы,
BATTLE_ACTION_SKILLS_LLOYD,Tools,Outils,Strumenti,,도구,Herramientas,Herramientas,Ferramentas,Narzędzia,Werkzeuge,Орудия,Інструментарій
BATTLE_ACTION_SKILLS_TEDDY,Skills,Techniques de combat,Abilità,,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Боевые приёмы,Здібності
BATTLE_ACTION_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез
BATTLE_ACTION_DEFEND,Defend,Garde,Difesa,ガード,방어하기,Defender,Defender,Defender,Obrona,Verteidigen,Защита,Захист
BATTLE_ACTION_ITEMS,Items,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Речі
BATTLE_ACTION_RUN,Run,Fuite,Fuga,にげる,도망가기,Huir,Huir,Fugir,Ucieczka,Fliehen,Побег,Втеча
BATTLE_PSIMENU_OFFENSE,Offense,Attaque,Attacco,こうげき,오펜스,Ataque,Ataque,Ofensiva,Ofensywne,Angriff,Атака,Атака
BATTLE_PSIMENU_RECOVERY,Recovery,Récupération,Cura,かいふく,회복,Recuperación,Curación,Cura,Regeneracyjne,Erholung,Лечение,Регенерація
BATTLE_PSIMENU_ASSIST,Assist,Soutien,Aiuto,アシスト,도움,Asistir,Apoyo,Auxílio,Wsparcia,Unterstützen,Помощь,Допомога
BATTLE_TARGET_ALL_ENEMIES,All Enemies,Tous les ennemis,Tutti i nemici,ぜんたい,모든 적,Todos los enemigos,A todos los enemigos,Todos os inimigos,Wszyscy wrogowie,Alle Gegner,Всем врагам,Усім ворогам
BATTLE_TARGET_ALL_ALLIES,All Allies,Tous les alliés,Tutti gli alleati,ぜんいん,모든 동료,Todos los aliados,A todos los aliados,Todos os aliados,Wszyscy sojusznicy,Alle Verbündeten,Всем союзникам,Усім союзникам
BATTLE_MSG_EXP_ONE_ALLY,{name} gained {value} exp.,{name} gagne {value} points d'expérience.,{name} guadagna {value} punti esperienza.,{name}は{value}の　けいけんちをえた。,{name}{n0} EXP를 {value}만큼 얻었다.,{name} obtuvo {value} de EXP.,{name} ha conseguido {value} puntos de experiencia.,{name} ganhou {value} de exp.,{name} zyskał{n4} {value} exp.,{name} erhielt {value} Erfahrungspunkte.,{name} получил{n6} {value} единиц{v1} опыта.,{name} отрима{n6} {value} одиниц{v1} досвіду.
BATTLE_MSG_EXP_TWO_ALLIES,{name} and {target} gained {value} exp each.,{name} et {target} gagnent {value} points d'expérience chacun.,{name} e {target} guadagnano {value} punti esperienza ciascuno.,{name}と{target}は{value}の　けいけんちをえた。,{name}{n3} {target}{t0} 각각 EXP를 {value}만큼 얻었다.,{name} y {target} obtuvieron {value} de EXP. cada uno.,{name} y {target} han conseguido {value} puntos de experiencia cada uno.,{name} e {target} ganharam {value} de exp. cada.,{name} i {target} zyskali po {value} exp.,{name} und {target} erhielten jeweils {value} Erfahrungspunkte.,{name} и {target} получили по {value} единиц{v0} опыта.,{name} і {target} отримали по {value} одиниц{v0} досвіду кожен.
BATTLE_MSG_EXP_MANY_ALLIES,{name} and {n4} friends gained {value} exp each.,{name} et ses amis gagnent {value} points d'expérience chacun.,{name} e i suoi amici guadagnano {value} punti esperienza ciascuno.,{name}たちはそれぞれ{value}の　けいけんちをえた。,{name}{n3} 친구들은 각각 EXP를 {value}만큼 얻었다.,{name} y sus amigos obtuvieron {value} de EXP. cada uno.,{name} y sus amigos han conseguido {value} puntos de experiencia cada uno.,{name} e seus amigos ganharam {value} de exp. cada.,{name} i {n0} przyjaciele zyskali po {value} exp.,{name} und {n4}e Freunde erhielten jeweils {value} Erfahrungspunkte.,{name} и {n10} друзья получили по {value} единиц{v0} опыта.,{name} і {n10} друзі отримали по {value} одиниц{v0} досвіду кожен.
BATTLE_MSG_EXP0_ONE_ALLY,{name} gained 0 exp.,{name} gagne 0 point d'expérience.,{name} guadagna 0 punti esperienza.,{name}は0の　けいけんちをえた。,{name}{n0} EXP를 0만큼 얻었다.,{name} obtuvo 0 de EXP.,{name} ha conseguido 0 puntos de experiencia.,{name} ganhou 0 de exp.,{name} zyskał{n4} 0 exp.,{name} erhielt 0 Erfahrungspunkte.,{name} получил{n6} 0 единиц опыта.,{name} отрима{n6} 0 одиниць досвіду.
BATTLE_MSG_EXP0_TWO_ALLIES,{name} and {target} gained 0 exp each.,{name} et {target} gagnent 0 point d'expérience chacun.,{name} e {target} guadagnano 0 punti esperienza ciascuno.,{name}と{target}は0の　けいけんちをえた。,{name}{n3} {target}{t0} 각각 EXP를 0만큼 얻었다.,{name} y {target} obtuvieron 0 de EXP. cada uno.,{name} y {target} han conseguido 0 puntos de experiencia.,{name} e {target} ganharam 0 de exp. cada.,{name} i {target} zyskali po 0 exp.,{name} und {target} erhielten 0 Erfahrungspunkte.,{name} и {target} получили по 0 единиц опыта.,{name} і {target} отримали по 0 одиниць досвіду кожен.
