key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
DIALOGUE_ERROR_0,[@]Hello this is an Error message.,[@]Bonjour ceci est un message d'erreur.,[@]Salve. Questo è un messaggio di errore.,[@]おかしいな　このメッセージはエラーだよ。,"[@]안녕하세요, 이것은 에러 메시지입니다.",[@]¡Hola este es un mensaje de Error!,"[@]Hola, este es un mensje de Error.","[@]Olá, essa é uma mensagem de Erro.","[@]Witam, to jest komunikat błędu.","[@]Hallo, dies ist eine Fehlermeldung.","[@]Привет, это сообщение — ошибка.","[@]Привіт, це повідомлення про помилку."
DIALOGUE_GAMEOVER_0,[@][Ninten]![WAIT@]It looks like you got your head handed to you.,[@][Ninten] ![WAIT@]On dirait que tu as subi un cuisant échec.,[@][Ninten]! [Ninten]![WAIT@]Ti hanno proprio conciato per le feste.,[@][Ninten]！[Ninten]！[WAIT@]たたかいに　つかれたようだな。,[@][Ninten]! [Ninten]![WAIT@]싸움에 지친 것 같구나.,[@]¡[Ninten]![WAIT@]Parece que te han servido tu cabeza en bandeja.,[@]¡[Ninten]![WAIT@]Parece que te han metido una buena paliza.,[@][Ninten]![WAIT@]Parece que você entrou numa fria.,"[@][Ninten]![WAIT@]Wygląda na to, że zebrałeś parę batów.","[@][Ninten]![WAIT@]Sieht aus, als wärst du absolut zunichte gemacht worden.","[@][Ninten]![WAIT@]Да, хорошенько тебе досталось.","[@][Ninten]![WAIT@]Схоже, ти отримав непоганого прочухана."
DIALOGUE_GAMEOVER_2,"[@]So, how about giving it another shot?","[@]Alors, que dirais-tu de retenter ta chance ?",[@]Che dici? Te la senti di fare un altro tentativo?,[@]もういちど　チャレンジするか？,[@]한 번 더 도전하겠니?,"[@]Así que, ¿qué tal otra oportunidad?",[@]¿Qué tal si lo intentas de nuevo?,"[@]Então, que tal tentar outra vez?",[@]A może by tak spróbować jeszcze raz?,"[@]Also, willst du es noch einmal versuchen?",[@]Хочешь взять реванш?,[@]Хочеш взяти реванш?
DIALOGUE_GAMEOVER_2-OPT_0,Yes,Oui,Sì,つづける,계속한다,Sí,Sí,Sim,Tak,Ja,Да,Так
DIALOGUE_GAMEOVER_2-OPT_1,No,Non,No,おわる,끝낸다,No,No,Não,Nie,Nein,Нет,Ні
DIALOGUE_GAMEOVER_3,"[@]Are you sure?[WAIT@]The next time you start your adventure, you'll begin where you last saved.[WAIT@]Is that okay?","[@]Tu en es sûr ?[WAIT@]La prochaine fois que reprendras ton aventure, tu partiras de l'endroit où tu as sauvegardé pour la dernière fois.[WAIT@]Ça te convient ?",[@]Sei sicuro?[WAIT@]Così tornerai al tuo salvataggio precedente.[WAIT@]Va bene?,[@]ここで　おわると　さいごの[WAIT@]セーブデータまで　もどるが[WAIT@]それで　よいのか？,[@]여기서 끝내면 마지막에 저장한 곳으로 돌아간단다.[WAIT@]지금까지의 여정이 사라지는 것이지.[WAIT@]그래도 괜찮니?,"[@]¿Estás seguro?[WAIT@]La próxima vez que sigas con tu aventura, empezarás en el lugar en el que guardaste la última vez.[WAIT@]¿Está bien?","[@]¿Estás seguro?[WAIT@]La próxima vez que sigas con tu aventura, empezarás en el lugar en el que guardaste la última vez.[WAIT@]¿Está bien?","[@]Tem certeza?[WAIT@]Quando você voltar à sua aventura, começará de onde salvou da última vez.[WAIT@]Tudo bem?","[@]Na pewno?[WAIT@]Następnym razem, gdy rozpoczniesz przygodę, zaczniesz od miejsca, w którym ostatnio zapisałeś grę.[WAIT@]Czy wszystko pasuje?","[@]Bist du sicher?[WAIT@]Das nächste Mal, wenn du das Abenteuer startest, fängst du dort an, wo du als letztes gespeichert hast.[WAIT@]Ist das in Ordnung?",[@]Точно?[WAIT@]Тогда в следующий раз приключение продолжится с последней точки сохранения.[WAIT@]Пойдёт?,"[@]Ти впевнений?[WAIT@]Наступного разу, твоя пригода почнеться з останнього місця збереження.[WAIT@]Добре?"
DIALOGUE_GAMEOVER_5-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так
DIALOGUE_GAMEOVER_5-OPT_1,No,Non,No,いいえ,아니오,No,No,Não,Nie,Nein,Нет,Ні
DIALOGUE_GAMEOVER_6,"[@]It must have all just been a bad dream.[WAIT@]See you, [Ninten]!","[@]Ce n'était sûrement qu'un mauvais rêve.[WAIT@]À la prochaine, [Ninten] !","[@]Dev'essere stato solo un brutto sogno.[WAIT@]Ci vediamo, [Ninten]!",[@][Ninten]は　わるいゆめを　みたのだ。[WAIT@]がんばれ！[Ninten]！,"[@]전부 그저 나쁜 꿈이었을 거야.[WAIT@]또 보자, [Ninten]!","[@]Todo esto debe de haber sido un mal sueño.[WAIT@]¡Hasta pronto, [Ninten]!","[@]Todo esto debe de haber sido un mal sueño.[WAIT@]¡Hasta pronto, [Ninten]!","[@]Tudo não deve ter passado de um pesadelo.[WAIT@]Até mais, [Ninten]!","[@]To musiał być tylko zły sen.[WAIT@]Żegnaj, [Ninten]!","[@]Es muss alles nur ein böser Traum gewesen sein.[WAIT@]Man sieht sich, [Ninten]!","[@]Всё это просто дурной сон.[WAIT@]До встречи, [Ninten]!","[@]Схоже, це був лиш поганий сон.[WAIT@]До зустрічі, [Ninten]!"
DIALOGUE_GAMEOVER_8,"[@][Ninten] decided to return after summoning all the courage and energy he had.[WAIT@]Good luck, [Ninten]!","[@][Ninten] décide de relever la tête après avoir rassemblé son courage et son énergie.[WAIT@]Bonne chance, [Ninten] !","[@][Ninten] si fa coraggio, ritrova le energie e decide di riprovarci.[WAIT@]Buona fortuna, [Ninten]!",[@][Ninten]は　さいごのきりょくを\nふりしぼって　たたかいのばに　ふっかつした。[WAIT@]がんばってくれ　[Ninten]！,"[@][Ninten][ko_part:Ninten:0][BR]마지막 기력을 쥐어짜 내서 싸움터에 부활했다.[WAIT@]힘내거라, [Ninten]!","[@][Ninten] decidió volver después de reunir todo el coraje y la energía que tenía.[WAIT@]¡Buena suerte, [Ninten]!","[@][Ninten] decidió volver después de reunir todo el coraje y la energía que tenía.[WAIT@]¡Buena suerte, [Ninten]!","[@][Ninten] juntou toda a sua coragem e energia e se levantou.[WAIT@]Boa sorte, [Ninten]!","[@][Ninten] postanowił wrócić po zebraniu całej swojej odwagi i energii.[WAIT@]Powodzenia, [Ninten]!","[@]Nachdem [Ninten] all seinen Mut und seine Kräfte gesammelt hatte, beschloss er, zurückzukehren.[WAIT@]Viel Glück, [Ninten]!","[@]Собравшись с силами и взяв волю в кулак, [Ninten] решает вернуться.[WAIT@]Удачи, [Ninten]!","[@][Ninten] вирішив повернутися, зібравшись з силами.[WAIT@]Удачі, [Ninten]!"
DIALOGUE_NOPROBLEM_0,[@]No problem here.,[@]Pas de problème ici.,[@]Nessun problema qui.,[@]もんだいなし。,[@]문제없다.,[@]Nada interesante.,[@]Nada interesante.,[@]Nada de interessante aqui.,[@]Tu nic nie ma.,[@]Hier ist alles in Ordnung.,[@]Ничего интересного.,[@]Нічого цікавого.
DIALOGUE_ZOOFIX_0,"[@]The zoo seems broken, want me to fix it?","[@]Le zoo a l'air en piteux état, tu veux que je m'occupe de régler ça ?","[@]Lo zoo sembra messo male, vuoi che lo sistemi?",[@]どうぶつえんが　こわれたみたい。\nなおしてあげようか？,[@]동물원이 부서진 것 같네. 고쳐줄까?,[@]El zoológico parece estar roto. ¿Quieres que lo arregle?,[@]El zoológico parece estar roto. ¿Quieres que te lo arregle?,[@]O zoológico parece quebrado. Quer que eu conserte?,"[@]Zoo wydaje się zepsute, mam je naprawić?","[@]Der Zoo scheint kaputt zu sein, soll ich ihn reparieren?","[@]Кажется, зоопарк сломался. Давай я починю?","[@]Схоже, зоопарк зламався. Хочеш, щоб я полагодив?"
DIALOGUE_ZOOFIX_0-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так
DIALOGUE_ZOOFIX_0-OPT_1,No,Non,No,いいえ,아니오,No,No,Não,Nie,Nein,Нет,Ні
DIALOGUE_ZOOFIX_1,"[@]Ok, reload the map and it'll be done.","[@]D'accord, recharge la zone et ce sera fait.","[@]D'accordo, ricarica la mappa e sarà fatto.",[@]よし　じゃあ　はいりなおしてくれ。,"[@]좋아, 그럼 들어가서 고쳐줘.","[@]Ok, déjame recargar el mapa y estaría listo.","[@]Ok, deja que recargue el mapa y todo estará listo.","[@]Ok, recarregue o mapa e estará pronto.","[@]Dobra, właduj mapę ponownie a będzie działać.","[@]Ok, lade die Karte neu und das war's.","[@]Окей, просто перезайди на карту.","[@]Окей, просто перезавантаж мапу і все."
DIALOGUE_ZOOFIX_2,[@]Why are you even here then?!,"[@]Qu'est-ce que tu viens faire ici, alors ?!",[@]Allora perché sei qui?!,[@]じゃあ　なんでここに　いるんだ？,[@]그러면 왜 여기 있어?,[@]¡¿Por qué siquiera estás aquí?!,[@]¡¿Entonces por qué siquiera estás aquí?!,[@]Então por que é que você está aqui?!,[@]To dlaczego w ogóle tu jesteś?!,[@]Warum bist du dann überhaupt hier?!,[@]Тогда что ты здесь вообще делаешь?!,[@]Тоді що ти тут взагалі робиш?!
DIALOGUE_ZOOFIX_SPEAKER_Officer,Officer,Policier,Poliziotto,けいかん,경찰관,Oficial,Oficial,Guarda,Funkcjonariusz,Polizist,Полицейский,Поліцейський
