key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
DIALOGUE_HOTEL_PARTY_BANTER_ANA_01_0,"[@]Despite his cowardice, I think [Lloyd] handled himself pretty well back there.","[@]Je trouve que pour une mauviette, [Lloyd] s'est très bien comporté là-bas.","[@]Sarà anche un fifone, ma [Lloyd] si è comportato bene quella volta.",,,"[@]Apesar de su cobardía, creo que [Lloyd] se comportó bastante bien allí.","[@]A pesar de su cobardía, creo que [Lloyd] se portó bastante bien allí.","[@]Apesar da covardia, o [Lloyd] se saiu muito bem naquela hora.","[@]Pomimo swojego tchórzostwa, myślę, że [Lloyd] poradził sobie tam całkiem nieźle.","[@]Trotz seiner Feigheit, hat sich [Lloyd] meiner Meinung nach, damals ziemlich gut geschlagen.","[@][Lloyd] хоть и робкий, но, по-моему, вёл себя там вполне прилично.",
DIALOGUE_HOTEL_PARTY_BANTER_CANARYFOUND_CANARY_0,[@]Chirp chirp!,[@]Tchip tchip !,[@]Pio pio!,[@]キュンキュン！,[@]짹 짹!,[@]¡Chirp chirp!,"[@]¡Pío, pío!",[@]Piu! Piu!,[@]Ćwir ćwir!,[@]Zwitscher zwitscher!,[@]Чик-чирик!,[@]Чік-чірік!
DIALOGUE_HOTEL_PARTY_BANTER_CANARYFOUND_CANARY_SPEAKER_Canary_Chick,Canary Chick,Bébé canari,Pulcino di canarino,カナリアのヒナ,아기 카나리아,Canario bebé,Cría de canario,Canarinho Bebê,Kanarek,Kanarienküken,Птенец канарейки,Пташеня Канарки
DIALOGUE_HOTEL_PARTY_BANTER_CANARYFOUND_CANARYTHOUGHTS_0,[@](I wanna see my momma...),[@](Je veux voir ma môman...),[@](Voglio la mia mamma...),[@]（ママにあいたいよ～）,[@](엄마 보고 싶어...),[@](Quiero ver a mi mami...),[@](Quiero ver a mi mami...),[@](Eu quero a minha mãe...),[@](Chcę zobaczyć moją mamę...),[@](Ich möchte Mama sehen ...),[@](Хочу к мамочке...),[@](Хочу побачити свою матусю...)
DIALOGUE_HOTEL_PARTY_BANTER_CANARYFOUND_CANARYTHOUGHTS_SPEAKER_Canary_Chick,Canary Chick,Bébé canari,Pulcino di canarino,カナリアのヒナ,아기 카나리아,Canario bebé,Cría de canario,Canarinho Bebê,Kanarek,Kanarienküken,Птенец канарейки,Пташеня Канарки
DIALOGUE_HOTEL_PARTY_BANTER_CANARYFOUND_PIPPI_0,"[@]That chick's mom must be worried sick.[WAIT@]Let's hurry up and reunite them, okay?[WAIT@]If I remember correctly, Canary Village should be to the north west of town.","[@]La maman de ce petit oiseau doit être morte d'inquiétude.[WAIT@]On va se dépêcher de le lui ramener, d'accord ?[WAIT@]Si je me souviens bien, le village Canari doit être au nord-ouest de la ville.","[@]La mamma di quel pulcino sarà preoccupata.[WAIT@]Sbrighiamoci a riunirli, ok?[WAIT@]Mi pare che il Villaggio Canarino sia a nordovest della città.",[@]あの　ヒナのママは\nきっと　しんぱい　してるわよ。[WAIT@]はやく　ママのところに\nかえして　あげなきゃ！[WAIT@]カナリアむらは　たしか\nまちの　ほくとうにあったはずね。,"[@]분명 엄마 카나리아가 걱정하고 있을 거야.[WAIT@]그래 그래, 꼭 다시 만나게 해줄게, 알겠지?[WAIT@]내 기억이 맞다면, 카나리아 마을은 북서쪽에 있었어.\n빨리 가자.","[@]La madre de este pollito parece estar muy preocupada.[WAIT@]Hay que darnos prisa y reunámoslos, ¿de acuerdo?[WAIT@]Si no recuerdo mal, la Villa Canario debería de estar al noroeste de la ciudad.","[@]La madre de este polluelo debe de estar muy preocupada.[WAIT@]Tenemos que darnos prisa y reunirlos.[WAIT@]Si mal no recuerdo, la Aldea Canaria está al noroeste del pueblo.","[@]A mãe do canarinho deve estar muito preocupada com ele.[WAIT@]Vamos juntá-los logo, tá bom?[WAIT@]Se eu me lembro bem, a Vila Canarinho fica a noroeste da cidade.","[@]Mama tego maleństwa musi się bardzo martwić.[WAIT@]Pospieszmy się i ich zjednoczmy, dobra?[WAIT@]Jeśli dobrze pamiętam, Wioska Kanarków powinna znajdować się na północny zachód od miasta.","[@]Die Mutter des Kükens muss krank vor Sorge sein.[WAIT@]Lass uns sie schnellstmöglich wieder zusammenbringen, okay?[WAIT@]Wenn ich mich recht erinnere, sollte das Kanariendorf im Nordwesten der Stadt sein.","[@]Мама птенчика, должно быть, совсем распереживалась.[WAIT@]Давай поскорее воссоединим их![WAIT@]Если я не ошибаюсь, Канарская деревушка находится к северо-западу от города...","[@]Мама пташенятка, напевно, зовсім собі місця не знаходить.[WAIT@]Давай швидше їх возз'єднаємо![WAIT@]Якщо не помиляюся, Село канарок знаходиться на північний захід від міста..."
DIALOGUE_HOTEL_PARTY_BANTER_CANARYMELODY_PIPPI_0,"[@]I'm glad we were able to find that canary's mother.[WAIT@]There's something about seeing a mother reunite with her child that just warms my heart.[WAIT@]Anyway, my mom asked us to go see the mayor.[WAIT@]I wonder what he has to say.","[@]J'suis trop contente qu'on ait réussi à trouver la mère du bébé canari.[WAIT@]Y'a comme un p'tit truc qui fait chaud au cœur quand on voit une maman retrouver son petit.[WAIT@]Bon, maman nous a demandé d'aller voir le maire.[WAIT@]Je me demande ce qu'il va nous dire.","[@]Sono felice che siamo riusciti a ritrovare la mamma del canarino.[WAIT@]Mi si scalda il cuore a vedere riunirsi una madre e un figlio.[WAIT@]Comunque, mia mamma ci ha chiesto di andare dal sindaco.[WAIT@]Chissà che cos'ha da dirci.",[@]ヒナをママと　さいかいできて　よかったね。[WAIT@]おやこの　さいかいって　なんだか\nこころが　あったまるわ。[WAIT@]そういえば　ママがちょうちょうさんに\nあうように　いってたっけ。[WAIT@]メンドクサイけど　しょうがないわね\nまちやくばに　むかいましょ。,"[@]엄마 카나리아를 찾아서 다행이다.[WAIT@]훌쩍, 사람이든 동물이든 가족 상봉은 언제나\n감동적이야.[WAIT@]아, 그러고 보니 엄마가 시장님 얼굴 한 번 보자고\n했었는데.[WAIT@]귀찮은데... 그냥 빨리 만나고 놀러 가자!","[@]Me alegro de que hayamos podido encontrar a la madre de ese canario.[WAIT@]Hay algo en ver a una madre reunirse con su hijo que me conmueve.[WAIT@]En fin, mi mamá nos pidió que vayamos a ver al alcalde.[WAIT@]Me pregunto qué nos tendrá que decir.","[@]Me alegro de que hayamos podido encontrar a la madre de ese canario.[WAIT@]Hay algo en ver a una madre reunirse con su cría que hace que me palpite el corazón.[WAIT@]En fin, mi madre me ha dicho que vayamos a ver\nal alcalde.[WAIT@]Me pregunto qué nos tendrá que decir.","[@]Que bom que conseguimos encontrar a mãe do canarinho![WAIT@]Ver a mamãe reunida com o seu filhotinho aquece o meu coração.[WAIT@]Enfim, minha mãe falou pra gente ir ver o prefeito.[WAIT@]Por que será que ele quer me ver?","[@]Cieszę się, że udało nam się znaleźć matkę kanarka.[WAIT@]Serce mi rośnie na widok mamy łączącej się ze swoim dzieckiem.[WAIT@]Tak czy owak, moja mama poprosiła nas, żebyśmy poszli zobaczyć się z burmistrzem.[WAIT@]Ciekawe co ma do powiedzenia.","[@]Ich bin froh, dass wir die Mutter des Kükens finden konnten.[WAIT@]Zu sehen, wie sich Mutter und Kind wieder vereinen, erwärmt mein Herz.[WAIT@]Mama hat uns übrigens drum gebeten, zum Bürgermeister zu gehen.[WAIT@]Ich frage mich, was er zu sagen hat.","[@]Я рада, что мы смогли найти маму птенчика.[WAIT@]Мать и дитя снова вместе. Ох, как хорошо на душе...[WAIT@]Ах да, моя мама попросила нас зайти к мэру.[WAIT@]Интересно, что он нам скажет?","[@]Я рада, що ми змогли знайти маму пташеняти.[WAIT@]Мати і дитина знову разом... Ох, як гріє душу...[WAIT@]Ах так, моя мама попросила нас зайти до мера.[WAIT@]Цікаво, що він нам скаже?"
DIALOGUE_HOTEL_PARTY_BANTER_LLOYD_01_1,[@]Why didn't you tell me earlier?!,[@]Pourquoi vous m'avez pas prévenu ?!,[@]Perché non me l'hai detto prima?!,,,[@]¿Por qué no me lo dijistes antes?,[@]¡¿Por qué no me lo has dicho antes?!,[@]Por que você não me falou antes?!,[@]Dlaczego nie powiedziałeś mi wcześniej?!,[@]Warum hast du das nicht eher gesagt?!,[@]Почему ты мне раньше об этом не сказал?!,[@]Чому ти раніше мені про це на сказав?!
DIALOGUE_HOTEL_PARTY_BANTER_LLOYD_01_2,[@]It definitely would have lessened the shock factor.,[@]Ça aurait été moins choquant.,[@]Avrebbe sicuramente ridotto lo shock.,,,[@]Definitivamente habría disminuido el factor sorpresa.,[@]Definitivamente habría disminuido el factor sorpresa.,[@]Isso definitivamente teria reduzido o choque.,[@]To zdecydowanie złagodziłoby szok.,[@]Das hätte auf jeden Fall den Schockfaktor gemindert.,[@]Это хотя бы не так шокировало!,[@]Це хоча б не так шокувало!
DIALOGUE_HOTEL_PARTY_BANTER_LLOYD_01_3,"[@]Oh please, I'm willing to bet if [Ninten] told you earlier, you wouldn't have come at all.","[@]Oh, s'il te plaît, je suis prête à parier que si [Ninten] t'avait prévenu, tu serais pas venu du tout.","[@]Ma va, se [Ninten] te l'avesse detto prima, non saresti venuto affatto.",,,"[@]Oh, por favor, apuesto a que si [Ninten] te lo hubiera dicho antes, ni siquiera habrías venido.","[@]Oh, por favor, apuesto que si [Ninten] te lo hubiese contado antes, no habrías venido.","[@]Ah, por favor, aposto que se o [Ninten] tivesse te contado, você nem teria vindo.","[@]O proszę, jestem gotów się założyć, że gdyby [Ninten] powiedział ci wcześniej, w ogóle byś nie przyszedł.","[@]Oh bitte, ich wette, wenn [Ninten] es dir früher gesagt hätte, wärst du gar nicht gekommen.","[@]О, пожалуйста. Я готова поспорить, что если бы [Ninten] сказал тебе об этом раньше, ты бы ни за что не пришёл.","[@]Ох, годі хникати. Зуб даю, що якби [Ninten] сказав про це раніше, ти б нізащо не приєднався."
