key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
DIALOGUE_PODUNK_ABBOT_0,"[@]I'm Abbott, not the Mayor.[WAIT@]But with the way things are going now, I might as well be.[WAIT@]I do almost all of the work around here![WAIT@]If you want to see Mayor Goodman, go to the room to your left.","[@]Moi c'est Abbé, le maire...[DELAY][WAITBR]est dans la pièce de gauche.[WAIT@]Enfin, vu comme les choses se passent, ça pourrait très bien être moi le maire.[WAIT@]Je fais quasiment tout le travail ici !","[@]Io sono Abbott, non il sindaco.[WAIT@]Anche se è come se lo fossi, ultimamente.[WAIT@]Qui lavoro praticamente solo io![WAIT@]Se vuoi andare dal sindaco, entra nella stanza alla tua sinistra.",[@]わたしが　ちょうちょう・・・。[WAIT@]じゃなくて　じょやくの　アボットです。[WAIT@]まぁ　ちょうちょうの　しごとは\nぜんぶ　わたしがやってるんですけどね。[WAIT@]もう　わたしが　ちょうちょう\nってことで　いいとおもいませんか？[WAIT@]はぁ・・・。[WAIT@]ちょうちょうさんなら\nひだりのへやに　いらっしゃいます。,"[@]어서 오세요, 저는 이 지역의 시장... 은 아니고\n애버트입니다.[WAIT@]그래도 제가 시장님 일은 다 처리하고 있으니\n시장이라 해도 틀린 말은 아니네요.[WAIT@]이제 시장님도 늙어가는데, 다음 선거 때 출마라도\n해볼까요?[WAIT@]크흠, 장난입니다. 진짜 시장님을 만나 뵙고 싶다면,\n왼쪽문으로 가시면 됩니다.","[@]Soy Abbott, no el alcalde.[WAIT@]Pero tal y como van las cosas ahora, bien podría serlo.[WAIT@]¡Yo hago casi todo el trabajo aquí![WAIT@]Si quieres ver al alcalde Goodman, ve a la habitación de tu izquierda.","[@]Soy Abbott, no el alcalde.[WAIT@]Aunque tal y como están yendo las cosas últimamente, bien podría serlo.[WAIT@]¡Yo soy el que hace casi todo el trabajo![WAIT@]En fin, si quieres ver al alcalde, ve a la habitación de tu izquierda.","[@]Não, eu não sou o prefeito. Meu nome é Abbott.[WAIT@]Mas, do jeito que as coisas estão, eu poderia ser.[WAIT@]Eu faço quase todo o trabalho daqui![WAIT@]Se você quer ver o prefeito Gentili, vá para a sala à esquerda.","[@]Jestem Abbott, nie burmistrz.[WAIT@]Ale przy obecnym stanie wszystkiego, równie dobrze mógłbym nim być.[WAIT@]Odwalam tu prawie całą robotę![WAIT@]Jeśli chce[if party:plural]cie[else]sz[/if] zobaczyć się z burmistrzem Goodmanem, idź[if party:plural]cie[/if] do pokoju po lewej.","[@]Ich bin Abbott, nicht der Bürgermeister.[WAIT@]Aber so wie's grad läuft, könnte ich auch genauso gut er sein.[WAIT@]Ich mache hier fast die ganze Arbeit![WAIT@]Wenn [if party:plural]ihr[else]du[/if] Bürgermeister Goodman sehen [if party:plural]möchtet, geht[else]möchtest, geh[/if] einfach in den Raum zu [if party:plural]eurer[else]deiner[/if] linken.","[@]Я Эббот, я не мэр...[WAIT@]Хотя в нынешней ситуации мне до него недалеко.[WAIT@]Я тут практически всю работу выполняю![WAIT@]Если [if party:plural]вы хотите[else]ты хочешь[/if] встретиться с мэром Гудменом, [if party:plural]проходите[else]проходи[/if] в комнату слева.","[@]Я Еббот, не мер.[WAIT@]Але з тим, як йдуть зараз справи, міг би ним бути.[WAIT@]Я роблю майже всю роботу тут![WAIT@]Якщо бажаєте побачити мера Гудмена, йдіть до кімнати ліворуч.",
DIALOGUE_PODUNK_ABBOT_2_0,"[@]Hey, [Ninten]![WAIT@]How are you doing?[WAIT@]I'm thinking of running for the elections.[WAIT@]The Mayor's getting too old for his job.[WAIT@]It's about time we have someone younger in charge.","[@]Bonjour, [Ninten] ![WAIT@]Tu vas bien ?[WAIT@]Je songe à me présenter aux élections.[WAIT@]Le maire commence à être trop vieux pour s'occuper des affaires.[WAIT@]Il serait temps que quelqu'un de plus jeune prenne la relève.","[@]Ehi, [Ninten]![WAIT@]Come stai?[WAIT@]Penso che mi candiderò alle elezioni.[WAIT@]Il sindaco ormai è troppo vecchio per il suo lavoro.[WAIT@]Ci vuole qualcuno di più giovane ormai.",[@]こんにちは　[Ninten]さん！[WAIT@]おげんきですか？[WAIT@]つぎの　せんきょに\nわたしが　しゅつばします。[WAIT@]ちょうちょうさんは　ごねんぱいですし。[WAIT@]わかい　しんせだいに\nついにこうたいするときが　きたってことですよ！,"[@]오랜만이네요, [Ninten]![WAIT@]잘 지내고 있었나요?[WAIT@]이번 선거 때 한번 출마해 보려고 해요.[WAIT@]어차피 업무도 전부 제가 다 처리하는데 안 될 거\n있나요?[WAIT@]이제 저 늙은이의 시대는 끝인 거죠. 하하","[@]¡Hola, [Ninten]![WAIT@]¿Cómo te va?[WAIT@]Estoy pensando en presentarme a las elecciones.[WAIT@]El alcalde se está haciendo demasiado viejo para su trabajo.[WAIT@]Ya es hora de que alguien joven se ponga al mando.","[@]¡Hola, [Ninten]![WAIT@]¿Cómo te va todo?[WAIT@]Estoy pensando en presentarme a las elecciones.[WAIT@]El alcalde se está haciendo demasiado viejo para desempeñar su trabajo.[WAIT@]Ya es hora de que un joven se ponga al mando.","[@]Ô, [Ninten]![WAIT@]Como vai você?[WAIT@]Estava pensando em me candidatar às eleições.[WAIT@]O prefeito está ficando velho demais pro trabalho.[WAIT@]Já está na hora de termos alguém mais jovem no comando!","[@]Hej, [Ninten]![WAIT@]Co słychać?[WAIT@]Myślę o wzięciu udziału w wyborach.[WAIT@]Burmistrz robi się za stary na swoje stanowisko.[WAIT@]Najwyższy czas, aby rządził ktoś młodszy.","[@]Hey, [Ninten]![WAIT@]Wie geht's dir?[WAIT@]Ich denke darüber nach, bei den Wahlen anzutreten.[WAIT@]Der Bürgermeister wird zu alt für seinen Job.[WAIT@]Wird Zeit, dass jemand jüngeres das Steuer übernimmt.","[@]Привет, [Ninten]![WAIT@]Как настроение?[WAIT@]Я вот планирую выдвинуться на выборы.[WAIT@]А то мэр слишком постарел для своей должности.[WAIT@]Как говорится, пришло время молодым встать у руля.","[@]Привіт, [Ninten]![WAIT@]Як справи?[WAIT@]Я думаю взяти участь у виборах.[WAIT@]Мер вже застарів для цієї справи.[WAIT@]Вже пора, щоб керував хтось молодший.",
DIALOGUE_PODUNK_ABBOT_SPEAKER_Abbott,Abbott,Abbé,Abbott,アボット,애버트,Abbott,Abbott,Abbott,Abbott,Abbott,Эббот,Еббот,
DIALOGUE_PODUNK_ALFRED_BABY_0,[@]Wow! That canary is singing Laura's baby.[WAIT@]Will you return her baby to her?,"[@]Oh ! Ce canari est le bébé de Laura, l'oiseau chanteur ![WAIT@]Tu vas le lui rapporter ?",[@]Wow! Quel canarino è il piccolo di Laura la canterina.[WAIT@]Glielo restituirai?,[@]ありゃ　きみのカナリアは\nうたひめローラのこどもじゃないか。[WAIT@]ローラのもとへ　かえしてやっておくれ。,"[@]오! 로라의 아기 카나리아구나.[WAIT@]그 아이, 돌려줄 수 있나?","[@]¡Guau! Ese canario es el bebé de Laura Cantora.[WAIT@]Se lo vas a devolver, ¿no es así?","[@]¡Oh! Ese canario es la cría de Laura Cantora.[WAIT@]Vas a devolvérselo, ¿verdad?",[@]Uau! Esse é o filhotinho da Laura![WAIT@]Você vai devolvê-lo para ela?,[@]Wow! Ten kanarek śpiewa jak dziecko Laury.[WAIT@]Czy zwróci[if party:plural]cie[else]sz[/if] jej dziecko?,"[@]Wow! Das ist das Baby von Laura, dem Singvogel![WAIT@][if party:plural]Bringt ihr[else]Bringst du[/if] das Baby wieder?",[@]Надо же! Эта канарейка — птенец певчей Лоры.[WAIT@][if party:plural]Вы вернёте[else]Ты вернёшь[/if] его Лоре?,[@]Нічого собі! Ця канарка — пташеня співочої Лори.[WAIT@][if party:plural]Ви повернете[else]Ти повернеш[/if] його Лорі?,
DIALOGUE_PODUNK_ALFRED_BABY_1-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,
DIALOGUE_PODUNK_ALFRED_BABY_1-OPT_1,No,Non,No,いいえ,아니오,No,No,Não,Nie,Nein,Нет,Ні,
DIALOGUE_PODUNK_ALFRED_BABY_2,"[@]Great![WAIT@]Now you just have to find her.[WAIT@]If I remember correctly, Laura lives in one of the white bird houses.","[@]Génial ![WAIT@]Maintenant, il ne te reste plus qu'à la trouver.[WAIT@]Si je me souviens bien, Laura habite dans l'un des nichoirs blancs.","[@]Ottimo![WAIT@]Devi solo trovarla ora.[WAIT@]Se ricordo bene, vive in una delle casette per uccelli bianche.",[@]あぁ　よかった。[WAIT@]ローラは　どこにいたかな・・・。[WAIT@]そうだ　ローラは　しろいとりごやの\nちかくにいたはず。,"[@]고맙구나![WAIT@]이제 로라를 찾아야 하는데...[WAIT@]내 기억 상으론, 저 하얀 새집 근처에 있었을 거다.\n잘 찾아보려무나.","[@]¡Genial![WAIT@]Ahora sólo tendrás que encontrarla.[WAIT@]Si no recuerdo mal, Laura vive en una de las casas de pájaro blancas...","[@]¡Perfecto![WAIT@]Ahora solo te falta encontrarla.[WAIT@]Si no recuerdo mal, Laura vive en una de las casas de pájaro blancas...","[@]Ótimo![WAIT@]Agora você só precisa encontrá-la.[WAIT@]Se eu me lembro bem, a Laura vive em uma dessas casas de passarinho brancas.","[@]Wspaniale![WAIT@]Teraz trzeba ją tylko znaleźć.[WAIT@]Jeśli dobrze pamiętam, Laura mieszka w jednym z białych domków dla ptaków.","[@]Super![WAIT@]Jetzt [if party:plural]müsst ihr[else]musst du[/if] sie nur noch finden.[WAIT@]Wenn ich mich recht erinnere, lebt Laura in einem der weißen Vogelhäuschen.","[@]Прекрасно![WAIT@]Теперь [if party:plural]вам[else]тебе[/if] просто нужно её найти.[WAIT@]Если мне не изменяет память, Лора живёт в каком-то из белых скворечников.","[@]Чудово![WAIT@]Тепер [if party:plural]вам[else]тобі[/if] лише потрібно її знайти.[WAIT@]Якщо не помиляюся, Лора живе в одній із білих шпаківень.",
DIALOGUE_PODUNK_ALFRED_BABY_5,[@]You can't just keep it as a pet!,[@]Tu ne vas quand même pas le garder comme animal de compagnie !,[@]Non è mica il tuo animale domestico!,[@]きみは　なにか　たいせつなことを\nわすれているな。　かなしいことだ。,[@]로라에겐 어떻게 설명해야...,[@]¡No te lo puedes tener como mascota!,[@]¡No te lo puedes quedar como mascota!,[@]Você não pode ficar com ele feito um mascote!,[@]Nie może[if party:plural]cie[else]sz[/if] po prostu trzymać go jako zwierzaka!,[@][if party:plural]Ihr könnt[else]Du kannst[/if] es nicht einfach als Haustier behalten!,[@]Это [if party:plural]вам[else]тебе[/if] не домашний питомец!,[@]Це [if party:plural]вам[else]тобі[/if] не домашній улюбленець!,
DIALOGUE_PODUNK_ALFRED_BABY_SPEAKER_Alfred,Alfred,Alfred,Alfred,アルフレッド,알프레드,Alfred,Alfred,Alfred,Alfred,Alfred,Альфред,Альфред,
DIALOGUE_PODUNK_ALFRED_SONG_0,"[@]Laura remembered her song, and began to sing once more.[WAIT@]Did you learn the melody?",[@]On dirait que Laura se souvient enfin de sa chanson et chante à nouveau.[WAIT@]Est-ce que tu as appris sa mélodie ?,"[@]Laura si è ricordata la sua canzone, e ora canta di nuovo.[WAIT@]Hai imparato la melodia?",[@]うたひめローラが　うたを\nおもいだしてくれたようだ。[WAIT@]キミも　メロディーをおぼえたかい？,[@]로라가 다시 노래를 부르기 시작했나 보구나.[WAIT@]멜로디는 잘 기억하고 있겠지?,"[@]Laura recordó su canción, y comenzó a cantar una vez más.[WAIT@]¿Te aprendiste la melodia?","[@]Laura ha recordado su canción, y ha vuelto a cantarla.[WAIT@]¿Has conseguido aprenderte la melodía?",[@]Laura se lembrou da sua canção e voltou a cantar.[WAIT@]Você aprendeu a melodia?,[@]Laura przypomniała sobie swoją piosenkę i zaczęła śpiewać jeszcze raz.[WAIT@]Zapamiętałeś melodię?,[@]Laura erinnerte sich und begann wieder zu singen.[WAIT@]Hast du dir die Melodie gemerkt?,[@]Лора вспомнила свою песню и снова запела.[WAIT@]Ты запомнил её мелодию?,[@]Лора згадала свою пісню і знову заспівала.[WAIT@]Ти запам'ятав її мелодію?,
