key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
DIALOGUE_PODUNK_NON-PERSON_TEXT_ALLIGATORS_0,[@]The world's first warm-blooded alligators.,"[@]Une première mondiale, des crocodiles à sang chaud.",[@]I primi alligatori a sangue caldo in tutto il mondo.,[@]「こちらは　せかいはつの\n　こうおんどうぶつに　へんかした\n　　　　　めずらしい　ワニです。」,[@]세계 최초로 정온동물의 특성을 지닌 악어들.,[@]Los primeros caimanes de sangre caliente en el mundo.,[@]Los primeros caimanes de sangre caliente en el mundo.,[@]Os primeiros jacarés de sangue quente do mundo!,[@]Pierwsze na świecie aligatory ciepłokrwiste.,[@]Die weltersten Warmblüter-Alligatoren.,[@]Первые в мире теплокровные аллигаторы.,[@]Перші у світі теплокровні алігатори.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_CANARY_ENTRANCE_0,[@]Canary village[BR]Home of the world-famous singing Canary!,"[@]Village Canari[BR]Demeure de Laura, le célèbre oiseau chanteur !",[@]Villaggio Canarino[BR]Casa del Canarino canterino famoso in tutto il mondo!,[@]「このおく　カナリアむら。[BR]ゆうめいな　うたうカナリアに　あいにいこう！」,[@]카나리아 마을.[BR]아름다운 노래를 가진 카나리아들의 고향!,[@]Villa Canario[BR]¡Hogar del mundialmente famoso Canario cantante!,[@]Aldea Canaria[BR]¡Hogar del mundialmente conocido Canario cantante!,[@]Vila Canarinho[BR]Lar do mundialmente famoso Canarinho Cantante!,[@]Wioska Kanarków[BR]Dom znanego na całym świecie śpiewającego kanarka!,[@]Kanariendorf[BR]Heimat der weltberühmten singenden Kanarienvögel!,[@]Канарская деревушка[BR]Дом всемирно известных певчих канареек!,[@]Село канарок[BR]Домівка всесвітньо відомих співочих канарок!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_CANARY_HOUSE_0,[@]There's a nest inside!,[@]Il y a un nid à l'intérieur !,[@]C'è un nido!,[@]なかには　すが　あった！,[@]안에 둥지가 있다!,[@]¡Hay un nido dentro!,[@]¡Hay un nido dentro!,[@]Tem um ninho dentro!,[@]W środku jest gniazdo!,[@]Da ist ein Nest drin!,[@]Там гнёздышко!,[@]Там гніздечко!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_CANARY_HOUSE_EMPTY_0,[@]Nobody's home...,[@]Il n'y a personne à la maison...,[@]Nessuno è in casa...,[@]おるす　みたい・・・。,[@]아무도 없는 거 같다.,[@]No hay nadie en casa...,[@]No hay nadie en casa...,[@]Ninguém em casa...,[@]Nikogo nie ma w domu...,[@]Niemand ist zu Hause ...,[@]Дома никого нет...,[@]Нікого нема...,
DIALOGUE_PODUNK_NON-PERSON_TEXT_CANARY_HOUSE_EMPTY_1,[@]You can feel a slight breeze coming from behind the birdhouse.,[@]Vous sentez une brise légère provenant de derrière le nichoir.,[@]Senti una brezza da dietro la casetta per uccelli.,[@]すばこの　うしろから\nかぜの　ながれを　かんじる。,[@]새집 뒤에서 약간의 바람이 밀려오는 걸 느꼈다.,[@]Puedes sentir una ligera brisa que viene de detrás de la casa de pájaros.,[@]Puedes sentir una ligera brisa que viene de detrás de la casa de pájaros.,[@]Você pode sentir uma leve brisa saindo de trás da casa de passarinho.,[@]Można poczuć lekki powiew wiatru dochodzący zza budki dla ptaków.,[@]Am Vogelhaus spürst du eine leichte Brise von der Mauer.,"[@]Ты чувствуешь, что за скворечником идёт ветерок.","[@]Ти відчуваєш, що за шпаківнею дме вітерець.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_CEMETARY_ENTRANCE_0,[@]Podunk Cemetery[BR]Home of our dearly departed.,[@]Cimetière de Podunk[BR]Demeure de nos chers disparus.,[@]Cimitero di Podunk[BR]Casa dei nostri cari defunti.,[@]「マザーズデイ　はかば[BR]　ははなるだいちに　こじんがねむる。」,[@]마더즈데이 공동묘지[BR]우리의 소중한 이들. 이곳에 잠들다.,[@]Cementerio de Podunk[BR]Hogar de nuestros queridos difuntos.,[@]Cementerio de Podunk[BR]Hogar de nuestros queridos difuntos.,[@]Cemitério de Podunk[BR]Lar de nossos queridos falecidos.,[@]Cmentarz Podunk[BR]Dom świętej pamięci.,[@]Friedhof von Podunk[BR]Heimat unserer verstorbenen Liebsten.,[@]Кладбище Поданка[BR]Дом наших почивших друзей.,[@]Цвинтар Поданку[BR]Домівка наших покійних близьких.,[@]Mother's Day Cemetery[BR]Home of our dearly departed.
DIALOGUE_PODUNK_NON-PERSON_TEXT_ELEPHANT_JOHN_0,[@]This elephant's name is John.,[@]Cet éléphant s'appelle John.,[@]Questo elefante si chiama John.,[@]「ぞうさんの　なまえは　ジョンだ。」,[@]이 코끼리 이름이 존이에요. 안녕 존~.,[@]Este elefante se llama John.,[@]Este elefante se llama John.,[@]Este elefante se chama João.,[@]Słoń ma na imię John.,[@]Dieser Elefant heißt Benjamin.,[@]Этого слона зовут Джон.,[@]Цього слона звуть Джон.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_0,[@]MOTHER Encore developer meeting. STAFF ONLY.[WAIT@][Ninten] pressed his ear against the door.,[@]Réunion des développeurs de MOTHER Encore. RÉSERVÉ AU PERSONNEL.[WAIT@][Ninten] colle son oreille contre la porte.,[@]Incontro sviluppatori di MOTHER Encore. SOLO PERSONALE AUTORIZZATO.[WAIT@][Ninten] appoggia l'orecchio sulla porta.,[@]「ＭＯＴＨＥＲアンコール　かいはつかいぎしつ。[BR]かんけいしゃ　いがい　たちいりきんし。」[WAIT@]([Ninten]は　こっそりと\nドアに　みみを　あてた。),[@]MOTHER 앙코르 개발자 미팅. 관계자 외 출입금지.[WAIT@][Ninten][ko_part:Ninten:0] 문에 귀를 댔다.,[@]Reunión de desarrolladores de MOTHER Encore.[BR]SOLO PERSONAL.[WAIT@][Ninten] apoyó su oreja contra la puerta.,[@]Reunión de desarrolladores de MOTHER Encore.[BR]SOLO PERSONAL.[WAIT@][Ninten] ha apoyado su oreja en la puerta.,[@]Reunião da equipe de MOTHER Encore. APENAS FUNCIONÁRIOS.[WAIT@][Ninten] encostou o ouvido na porta.,[@]Spotkanie deweloperów MOTHER Encore.[BR]TYLKO DLA PRACOWNICÓW.[WAIT@][Ninten] przyłożył ucho do drzwi.,[@]MOTHER Encore Entwicklertreffen.[BR]NUR FÜR PERSONAL.[WAIT@][Ninten] drückte sein Ohr gegen die Tür.,[@]Совещание разработчиков MOTHER: Encore.[BR]ВХОД ТОЛЬКО ДЛЯ ПЕРСОНАЛА.[WAIT@][Ninten] прислонил ухо к двери.,[@]Нарада розробників MOTHER: Encore.[BR]ВХІД ТІЛЬКИ ДЛЯ ПЕРСОНАЛУ.[WAIT@][Ninten] притулив вухо до дверей.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_2,"[@]No, we should make it more like MOTHER 3!","[@]Non, on devrait faire un peu plus comme dans MOTHER 3 !","[@]No, deve essere più come MOTHER 3!",[@]いやいや　もっとＭＯＴＨＥＲ３っぽく\nするべきだピョン！,"[@]아니야, MOTHER 3처럼 만들어야지!","[@]¡No, deberíamos hacerlo más como MOTHER 3!","[@]¡No, deberíamos hacerlo más como MOTHER 3!","[@]Não, temos que fazer mais parecido com MOTHER 3!","[@]Nie, powinniśmy zrobić to bardziej jak w MOTHER 3!","[@]Nein, wir sollten's mehr wie MOTHER 3 gestalten!","[@]Нет, нам надо сделать её более похожей на MOTHER 3!","[@]Ні, нам треба зробити її більш схожою на MOTHER 3!",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_3,[@]But MOTHER 2's better!,[@]Mais MOTHER 2 est mieux !,[@]Ma MOTHER 2 è meglio!,[@]でも　MOTHER２のほうが\nにんきだと　おもうワン！,"[@]2가 근본인데, 2를 따라가야지!",[@]¡Pero si MOTHER 2 es mejor!,[@]¡MOTHER 2 es mejor!,[@]Mas MOTHER 2 é melhor!,[@]Ale MOTHER 2 jest lepsze!,[@]Aber MOTHER 2 ist besser!,[@]Но ведь MOTHER 2 лучше!,[@]Але MOTHER 2 краще!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_4,[@]How about we add another dungeon for no reason?,[@]Et si on ajoutait un donjon supplémentaire sans aucune raison ?,[@]E se aggiungessimo un altro dungeon senza motivo?,[@]むいみな　ダンジョンを\nもっと　ふやしたいニャ～。,"[@]그건 상관없고, 던전을 하나만 더 추가하는게\n어떨까?",[@]¿Qué tal si agregamos otra mazmorra porque sí?,[@]¿Qué tal si añadimos otra mazmorra sin motivo alguno?,[@]E se a gente colocasse uma dungeon extra sem motivo nenhum?,[@]A może by tak dodać kolejne lochy bez powodu?,"[@]Wie wär's, wenn wir völlig grundlos, noch einen Dungeon implementieren?","[@]Может, по приколу добавим ещё один данж?","[@]Може, додамо ще один данж? Прикольно буде.",
