key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
DIALOGUE_REUSABLE_ATM_1,[@]PLEASE INSERT CASH CARD.,[@]VEUILLEZ INSÉRER VOTRE CARTE BANCAIRE.,[@]INSERIRE CARTA DI CREDITO.,[@]キャッシュカードヲ　イレテクダサイ,[@]현금 카드를 넣어주세요.,[@]POR FAVOR INSERTE SU TARJETA.,"[@]POR FAVOR, INSERTE UNA TARJETA DE CRÉDITO.","[@]POR FAVOR, INSIRA O CARTÃO.",[@]WŁÓŻ KARTĘ BANKOMATOWĄ.,[@]BITTE BANKKARTE EINFÜHREN.,[@]ВСТАВЬТЕ БАНКОВСКУЮ КАРТУ.,[@]ВСТАВТЕ ПЛАТІЖНУ КАРТКУ.
DIALOGUE_REUSABLE_ATM_2,[@]WELCOME TO THE AUTOMATIC TELLER MACHINE.,[@]BIENVENUE AU DISTRIBUTEUR AUTOMATIQUE DE BILLETS.,[@]BENVENUTO ALLO SPORTELLO AUTOMATICO,[@]イラッシャイマセ,[@]거래를 선택해 주세요.,[@]BIENVENIDO AL CAJERO AUTOMÁTICO.,[@]BIENVENIDO AL CAJERO AUTOMÁTICO.,[@]BEM-VINDO AO CAIXA ELETRÔNICO.,[@]WITAMY W BANKOMACIE.,[@]WILLKOMMEN BEIM BANKAUTOMATEN.,[@]ЗДРАВСТВУЙТЕ! ВХОД В БАНКОВСКУЮ СИСТЕМУ...,[@]ЛАСКАВО ПРОСИМО ДО БАНКОМАТУ.
DIALOGUE_REUSABLE_ATM_SPEAKER_ATM,ATM,Distributeur,ATM,ＡＴＭ,ATM,ATM,Cajero,CAIXA,Bankomat,Bankautomat,Банкомат,Банкомат
DIALOGUE_REUSABLE_DAD_NORMAL_0,[@][Ninten]? It's your dad.,[@][Ninten] ? C'est papa.,[@][Ninten]? Sono papà.,[@]あ　パパだ。,[@][Ninten]? 아빠다.,[@]¿[Ninten]? Soy tu papá.,[@]¿[Ninten]? Soy papá.,[@][Ninten]? É o papai.,[@][Ninten]? Tu twój tata.,[@][Ninten]? Hier spricht Papa.,"[@]Алло, [Ninten], это папа.",[@][Ninten]? Це твій тато.
DIALOGUE_REUSABLE_DAD_NORMAL_1,[@]I've deposited $[EarnedCash] into your bank account.,[@]J'ai déposé [EarnedCash] $ sur ton compte bancaire.,[@]Ti ho caricato [EarnedCash] $ nel conto in banca.,[@][Ninten]の　ぎんこうこうざに\n[EarnedCash]ドル　ふりこんでおいたからね。,[@]네 계좌에 [EarnedCash]달러 입금했다.,[@]He depositado $[EarnedCash] en tu cuenta bancaria.,[@]He depositado [EarnedCash]$ en tu cuenta bancaria.,[@]Eu depositei $[EarnedCash] na sua conta.,[@]Wpłaciłem [EarnedCash]$ na twoje konto.,[@]Ich habe [EarnedCash] $ auf dein Bankkonto überwiesen.,[@]Я перевёл [EarnedCash] $ на твой счёт.,[@]Я поклав [EarnedCash] $ на твій рахунок.
DIALOGUE_REUSABLE_DAD_NORMAL_2,"[@]Taking away what you've spent, you should now have $[BankCash] in the bank.[WAIT@]Anyways, what do you need from me?","[@]En déduisant ce que tu as dépensé, tu devrais avoir [BankCash] $ sur ton compte.[WAIT@]Enfin bref, de quoi as-tu besoin ?","[@]Togliendo quello che hai speso, ora dovresti avere [BankCash] $.[WAIT@]Comunque, di cos'avevi bisogno?",[@]おまえが　つかったぶんと　さしひきで\n[BankCash]ドル　こうざに　はいっているはずだ。\nだいじに　つかいなさい。[WAIT@]それはそうと　なんのようだい？,"[@]쓴 돈을 빼면 계좌에 [BankCash]달러가 있을 거야.[WAIT@]그래서, 왜 전화했니?","[@]Quitando lo que gastastes, debes tener $[BankCash] en tu cuenta bancaria.[WAIT@]Bueno, ¿necesitas algo?","[@]Quitando lo que te has gastado, ahora deberías tener [BankCash]$ en el banco.[WAIT@]Bueno, ¿qué necesitas?","[@]Tirando o que gastou, você deve ter $[BankCash] no banco.[WAIT@]Enfim, precisa de alguma coisa?","[@]Odejmując to, co wydałeś, powinieneś mieć teraz [BankCash]$ w banku.[WAIT@]W każdym razie, czego ode mnie potrzebujesz?","[@]Abzüglich dessen, was du ausgegeben hast, solltest du nun [BankCash] $ auf deinem Konto haben.[WAIT@]Wie auch immer, brauchst du etwas von mir?","[@]Если вычесть все твои траты, на счету должно быть [BankCash] $.[WAIT@]Что-то ещё нужно?","[@]Віднявши те, що ти витратив, зараз у тебе має бути [BankCash] $ на рахунку.[WAIT@]У будь-якому випадку, тобі щось іще потрібно?"
DIALOGUE_REUSABLE_DAD_NORMAL_3-OPT_0,Record,Sauvegarder,Salva,きろくする,저장,Grabar,Guardar,Salvar,Zapisz,Speichern,Записать,Зберегти
DIALOGUE_REUSABLE_DAD_NORMAL_3-OPT_1,"Nothing, really","En fait, rien","Niente, in realtà",とくにない,딱히...,Nada realmente,Nada,Nada não,W sumie to nic,Eigentlich nicht,"Да нет, ничего","Взагалі, нічого"
DIALOGUE_REUSABLE_DAD_NORMAL_5,[@]All done.,"[@]Voilà, c'est fait.",[@]Tutto fatto.,[@]たたかいの　きろくは　つけておいたよ。,[@]다 됐다.,[@]Todo listo.,[@]Todo listo.,[@]Prontinho.,[@]Załatwione.,[@]Erledigt.,[@]Готово.,[@]Готово.
DIALOGUE_REUSABLE_DAD_NORMAL_6,"[@]Well, good luck with your adventure and whatnot.[WAIT@]Just remember to take a break once in a while, okay?","[@]Allez, bonne chance dans ton aventure et tout ça.[WAIT@]N'oublie pas de faire une pause de temps en temps, d'accord ?","[@]Buona fortuna con la tua avventura e tutto il resto.[WAIT@]Ricorda di fare una pausa ogni tanto, però.",[@]ママににて　がんばりやだなぁ。[WAIT@]むりするなよ。,"[@]앞으로의 모험이 잘 되었으면 좋겠구나.[WAIT@]가끔은 휴식도 필요하다는 걸 기억해, 알겠지?","[@]Está bien, buena suerte en tu aventura y todo eso.[WAIT@]Sólo recuerda tomar un descanzo de vez en cuando, ¿de acuerdo?","[@]Bueno, pues suerte con tu aventura y eso.[WAIT@]Pero acuérdate de tomar un descanso de vez en cuando, ¿vale?","[@]Bem, boa sorte com a sua aventura.[WAIT@]Só não se esqueça de fazer uma pausa de vez em quando, tá bom?","[@]Cóż, powodzenia w przygodzie i czym tam bądź.[WAIT@]Pamiętaj tylko, żeby od czasu do czasu zrobić sobie przerwę, dobrze?","[@]Also, dann noch viel Glück bei deinem Abenteuer.[WAIT@]Denk nur daran, immer mal wieder eine Pause zu machen, okay?","[@]Что ж, удачного приключения или что там у тебя.[WAIT@]Только не забывай время от времени делать перерыв, хорошо?","[@]Що ж, вдалої пригоди, чи що там у тебе.[WAIT@]Тільки не забувай час від часу робити перерву, гаразд?"
