key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru
DIALOGUE_SHITPOST_DIALOGUE_BOXES_0,[@]The contents are mainly air and paper,[@]À l'intérieur se trouvent principalement de l'air et du papier.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_BUTTON_0,[@]No response,[@]Pas de réponse,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_CAPSULE_0,"[@]The dazzling glare makes you unable to open your eyes, but you still squint hard to see where you are now.","[@]La lumière éblouissante vous empêche d'ouvrir les yeux, mais vous vous forcez à les entrouvrir malgré tout pour identifier l'endroit où vous êtes.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_CAPSULE_1,"[@]Through the hazy eyes, you find yourself in a very strange room.[WAIT@]Your hands and feet are week, your head is dizzy, and you are soaked.[WAIT@]The most important thing is that you feel hungry as if you haven't eaten for years.[WAIT@]Obviously, you were kidnapped, and your last fuzzy memory before the coma also verified this.[WAIT@]You were attacked by a group of people and then brought here.[WAIT@]You are confused ([Confused]), but you clearly understand that the most important thing is to escape from this room.[WAIT@]Obviously, you have only one choice.","[@]À travers cette vision brumeuse, vous semblez vous trouver dans une pièce très étrange.[WAIT@]Vous mains et vos pieds sont très affaiblis, vous avez la tête qui tourne, et vous êtes trempé[LeadArt6].[WAIT@]Mais ce qu'il y a de plus flagrant, c'est que vous avez faim comme si vous n'aviez pas mangé depuis des années.[WAIT@]Manifestement, vous avez été enlevé[LeadArt6], et votre dernier souvenir trouble avant votre perte de conscience semble vous le confirmer.[WAIT@]Vous avez été attaqué[LeadArt6] par un groupe d'individus qui vous ont ensuite emmené[LeadArt6] ici.[WAIT@]Vous êtes désorienté[LeadArt6], mais vous comprenez clairement que la chose la plus urgente à faire, c'est de vous enfuir de cette pièce.[WAIT@]De toute évidence, vous n'avez pas d'autre choix.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_FLOORVENT_0,[@]A sewer that can wash away the waste.,[@]Un égout pour évacuer les résidus.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_GOO_0,[@]Strange goo splashed on the wall.,[@]Le mur a été éclaboussé d'une étrange matière visqueuse.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_GOO_1,"[@]Considering the current situation, it is better not to touch.","[@]Compte tenu de la situation actuelle, il vaut mieux ne pas y toucher.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_MACHINE_0,[@]It seems that the machine that controls the life support chamber next door has been turned on.,[@]On dirait que la machine qui contrôle l'enceinte de survie dans la pièce d'à côté a été mise en route.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_MACHINE_1,"[@]The dust on it is very thick, there is no trace of usage by humans.","[@]Elle est recouverte d'une épaisse poussière, il n'y a aucune trace de manipulation par des humains.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPER_0,[@]Rehabilitation training plan:,[@]Programme de rééducation :,,,,,,,,,
