key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru
FIELD_RUN,Run,Course,Corri,ダッシュ,달리기,Correr,Correr,Correr,Bieg,Rennen,Бег
FIELD_RUN_DESC,"Hold [color][ui_toggle][/color] to Crouch, then release it to Run.\nOr, hold [color][ui_toggle][/color] while moving to Run.","Maintenez [color][ui_toggle][/color] enfoncé pour vous accroupir, puis relâchez-le pour courir. Ou bien, maintenez [color][ui_toggle][/color] enfoncé en vous déplaçant pour courir.","Tieni premuto [color][ui_toggle][/color] per Accovacciarti, e lascialo per Correre.\nOppure tieni premuto [color][ui_toggle][/color] mentre ti muovi.",[color][ui_toggle][/color]で　しゃがみ、はなすと　はしる。\nいどうしながら[color][ui_toggle][/color]でも　はしれる。,[color][ui_toggle][/color]를 길게 누르고 때 달릴 수 있다.\n또는 [color][ui_toggle][/color]키를 누른 채 이동하여 달릴 수도 있다.,"Mantén presionado [color][ui_toggle][/color] para agacharte, luego suéltalo para correr. O mantén presionado [color][ui_toggle][/color] mientras te mueves para correr.","Mantén pulsado [color][ui_toggle][/color] para agacharte, y después suéltalo para correr. O mantén pulsado [color][ui_toggle][/color] mientras te mueves para correr.",Segure [color][ui_toggle][/color] para Agachar e solte para Correr.\nOu segure [color][ui_toggle][/color] enquanto se move para Correr.,"Przytrzymaj [color][ui_toggle][/color], aby kucnąć, a następnie puść, aby biec.\nAlbo przytrzymaj [color][ui_toggle][/color] podczas ruchu, aby biec.","Halte [color][ui_toggle][/color] zum Hinhocken, lasse los um zu rennen.\nOder halte [color][ui_toggle][/color] während du gehst, um zu rennen.","Пригнись, удерживая [color][ui_toggle][/color], затем отпусти, чтобы начать бежать. Ещё ты можешь бегать, держа [color][ui_toggle][/color] во время движения."
FIELD_JUMP,Jump,Saut,Salta,ジャンプ,점프,Saltar,Saltar,Pular,Skok,Springen,Прыжок
FIELD_JUMP_DESC,Press [color][ui_accept][/color] near certain ledges to Jump.,Appuyez sur [color][ui_cancel][/color] à proximité de certains rebords pour sauter.,Premi [color][ui_accept][/color] vicino a certe sporgenze per Saltare.,[color][ui_accept][/color]で　いちぶの\nだんさを　ジャンプでとびこえられる。,특정 위치에서 [color][ui_accept][/color]를 눌러 점프할 수 있다.,Presiona [color][ui_accept][/color] cerca de ciertos bordes para saltar.,Pulsa [color][ui_accept][/color] cerca de ciertas cornisas para saltar.,Pressione [color][ui_accept][/color] perto de algumas beiradas para Pular.,"Naciśnij [color][ui_accept][/color] w pobliżu niektórych krawędzi, aby skoczyć.","Drücke [color][ui_accept][/color] in der Nähe von bestimmten Absätzen, um zu springen.","Чтобы сделать прыжок, нажми [color][ui_accept][/color], стоя рядом с отмеченным выступом."
FIELD_SCOPE,Scope,Scruter,Esamina,みわたす,전망,Examinar,Explorar,Analisar,Zbadaj,Spähen,Осмотреться
FIELD_SCOPE_DESC,Hold [color][ui_scope][/color] to Scope.\nCan be used to view places you can't normally see.,Maintenez [color][ui_scope][/color] pour scruter.\nPermet d'observer des choses que l'on ne peut normalement pas voir.,Tieni premuto [color][ui_scope][/color] per Esaminare.\nUtile per vedere luoghi normalmente invisibili.,[color][ui_scope][/color]ながおしで　あたりをみわたせる。\nめにみえない　ところが　みえるようになる。,[color][ui_scope][/color]를 눌러 관망 상태를 유지할 수 있다.\n평소에는 볼 수 없던 곳을 볼 수 있다.,Mantén presionado [color][ui_scope][/color] para examinar las zonas que normalmente no puedes ver.,Mantén pulsado [color][ui_scope][/color] para explorar zonas que normalmente no podrías ver.,Segure [color][ui_scope][/color] para Analisar.\nPode ser usado para ver lugares que você não consegue ver normalmente.,"Przytrzymaj [color][ui_scope][/color], aby zbadać teren.\nMoże być używane do oglądania miejsc, których normalnie nie widać.","Halte [color][ui_scope][/color] um durch's Feld zu spähen.\nKann benutzt werden, um Orte anzuschauen,\ndie du normalerweise nicht sehen kannst.","Удерживай [color][ui_scope][/color], чтобы осмотреть область вне твоего поля зрения."
FIELD_SWING,Swing,Frappe,Colpisci,スイング,스윙,Batear,Batear,Golpear,Rozmach,Schwingen,Взмах битой
FIELD_SWING_DESC,Press [color][ui_cancel][/color] to Swing your bat.\nCan be used to get a first strike on enemies.,Appuyez sur [color][ui_cancel][/color] pour frapper avec votre batte.\nPermet de porter un premier coup à l'ennemi.,Premi [color][ui_cancel][/color] per Colpire con la tua mazza.\nUtile per avere il primo attacco contro i nemici.,[color][ui_cancel][/color]で　バットをスィングする。\nてきに　せんせいこうげきが　できる。,[color][ui_cancel][/color]를 눌러 배트를 휘두른다.\n필드에서 적을 공격한 후 전투에 돌입할 수 있다.,Presiona [color][ui_cancel][/color] para batear.\nPuede usarse para dar el primer golpe a los enemigos.,Pulsa [color][ui_cancel][/color] para batear.\nPuede usarse para atacar primero a los enemigos.,Pressione [color][ui_cancel][/color] para Golpear com o taco.\nPode ser usado para atacar primeiro os inimigos.,"Naciśnij [color][ui_cancel][/color], aby zamachnąć kijem.\nMoże być użyty do zadania wrogom pierwszego ciosu.","Drücke [color][ui_cancel][/color] um deinen Schläger zu schwingen.\nKann benutzt werden, um einen Erstschlag gegen Gegner zu erzielen.","Нажми [color][ui_cancel][/color], чтобы взмахнуть своей битой. Застань противника врасплох!"
FIELD_TELEPATHY,Telepathy,Télépathie,Telepatia,テレパシー,텔레파시,Telepatía,Telepatía,Telepatia,Telepatia,Telepathie,Телепатия
FIELD_TELEPATHY_DESC,"Hold [color][ui_toggle][/color] to Crouch, then press [color][ui_accept][/color] to use Telepathy.\nCan be used to read the thoughts of others.","Maintenez [color][ui_toggle][/color] pour vous accroupir, puis appuyez sur [color][ui_accept][/color].\nPermet de lire dans les pensées.","Tieni premuto [color][ui_toggle][/color] per Accovacciarti, poi premi [color][ui_accept][/color] per la Telepatia.\nUtile per leggere i pensieri altrui.",[color][ui_toggle][/color]で　しゃがみながら\n[color][ui_accept][/color]を　おすとテレパシーが　つかえる。\nたにんの　こころが　よめる。,[color][ui_toggle][/color]를 누른 채로 [color][ui_accept][/color]를 눌러 사용할\n수 있다.\n타인의 생각을 읽을 수 있게 해준다.,"Mantén presionado [color][ui_toggle][/color] para agacharte, luego presiona [color][ui_accept][/color].\nTe permite leer los pensaminetos de otros.","Mantén pulsado [color][ui_toggle][/color] para agacharte, y después pulsa [color][ui_accept][/color] para usar telepatía.\nTe permite leer los pensamientos de otros.",Segure [color][ui_toggle][/color] para Agachar e pressione [color][ui_accept][/color] para usar Telepatia.\nPode ser usado para ler os pensamentos dos outros.,"Przytrzymaj [color][ui_toggle][/color], aby kucnąć, a następnie\nnaciśnij [color][ui_accept][/color], aby użyć Telepatii.\nMożesz jej użyć, aby czytać innym w myślach.","Halte [color][ui_toggle][/color] zum Hinhocken, drücke dann [color][ui_accept][/color] um Telepathie auszuführen. Kann benutzt werden, um die Gedanken anderer zu lesen.","Пригнись, удерживая [color][ui_toggle][/color], затем нажми [color][ui_accept][/color], чтобы использовать телепатию.\nТак ты сможешь читать мысли других."
