key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
DISCLAIMER_TITLE,DISCLAIMER,AVERTISSEMENT,DISCLAIMER,ちゅうい,주의,ATENCIÓN,ATENCIÓN,AVISO,OŚWIADCZENIE,HINWEIS,ВНИМАНИЕ!,УВАГА!,
DISCLAIMER_PART_1,"MOTHER: Encore is a free, unofficial fan reimagining of MOTHER 1 and is not affiliated with Nintendo or Shigesato Itoi. This game offers a uniquely different experience from the original and should not be seen as a replacement for it.","MOTHER: Encore est une réinterprétation de MOTHER 1 proposée par des fans. C'est un jeu gratuit, non officiel et non affilié à Nintendo et Shigesato Itoi. Il offre une expérience unique et ne se substitue pas à l'original.",MOTHER: Encore è un rifacimento gratuito e non ufficiale di MOTHER 1 e non è in alcun modo affiliato con Nintendo o Shigesato Itoi. Questo gioco offre un'esperienza totalmente diversa dall'originale e non va visto come suo sostituto.,このゲームは　ファンメイドのリメイクさくひんです。\nニンテンドー　いといしげさと　とは　いっさいかんけい\nありません。　げんさくとは　ちがうたいけんを　おとどけし\nだいたいひん　ではありません。,"MOTHER: 앙코르는 무료이며, MOTHER1을 재구성한 비공식 팬\n게임으로, 닌텐도 또는 이토이 시게사토와 제휴하지 않습니다.\n이 게임은 원작과 다른 경험을 제공하므로 원작을 대체하는\n게임으로 간주하여서는 안 됩니다.",MOTHER: Encore es una reinvención no oficial y gratuita de MOTHER 1 realizada por fans y no está afiliada a Nintendo ni a Shigesato Itoi. Este juego ofrece una experiencia distinta a la del original y no debe considerarse un sustituto del mismo.,MOTHER: Encore es una reimaginación no oficial y gratuita de MOTHER 1 creada por fans y no está afiliada con Nintendo ni Shigesato Itoi. Este juego ofrece una experiencia distinta a la del original y no debe considerarse un reemplazo del mismo.,MOTHER Encore é uma reimaginação gratuita e não-oficial de MOTHER 1 e não é afiliada à Nintendo ou Shigesato Itoi. Este jogo oferece uma experiência única e diferente do original e não deve ser considerado um substituto para ele.,"MOTHER: Encore jest darmowym, nieoficjalnym, fanowskim odświeżeniem MOTHER 1 i nie jest powiązane z Nintendo ani Shigesato Itoim. Ta gra oferuje zupełnie inne doświadczenie niż oryginał i nie powinna być postrzegana jako jego zamiennik.","MOTHER: Encore ist eine kostenlose, inoffizielle\nFan-Neuinterpretation von MOTHER 1 und steht in keinem Bezug zu Nintendo oder Shigesato Itoi. Dieses Spiel soll als eine neue Erfahrung und nicht als Ersatz für das Original gesehen werden.","MOTHER: Encore — это бесплатное неофициальное переосмысление MOTHER 1, не имеющее отношения к Nintendo или Сигэсато Итои. Данная игра предоставляет совершенно другой опыт и не создана, чтобы заменить оригинал.","MOTHER: Encore — безкоштовне, неофіційне переосмислення MOTHER 1 і ніяк не пов'язане з Nintendo чи Сигесато Ітоєм. Ця гра надає зовсім відмінний від оригіналу досвід і не повинна розглядатися як його заміна.",
DISCLAIMER_PART_2,We recommend supporting the MOTHER series by playing the games via official releases or by purchasing official merchandise.,Nous vous invitons à soutenir la série en jouant à des versions officielles de MOTHER 1 ou en achetant des produits dérivés officiels.,Vi invitiamo a supportare la serie di MOTHER giocando alle versioni ufficiali o acquistando merchandise ufficiale.,マザーシリーズを　しえんするために　こうしきばんの\nMOTHER1をプレイしたり　こうしきグッズを\nこうにゅうすることを　おススメします。,MOTHER 시리즈의 정식 발매를 통한 게임을 플레이하거나 공식\n상품을 구매하는 것을 권장합니다.,"Recomendamos que apoyen la saga original, jugando al MOTHER 1 original a través de las versiones oficiales o comprando la mercancía oficial.",Recomendamos que apoyes la saga original jugando al MOTHER 1 original a través de las versiones oficiales o comprando merchandising oficial.,Recomendamos que você apoie a série original jogando MOTHER 1 por meio de lançamentos oficiais ou comprando produtos oficiais.,"Zalecamy wspieranie oryginalnej serii, na przykład poprzez granie w oryginalną grę MOTHER 1 za pośrednictwem oficjalnych wydań lub kupowanie oficjalnych gadżetów i wytworów.",Wir empfehlen die Unterstützung der MOTHER-Reihe durch das Spielen der offiziellen Veröffentlichungen sowie dem Kauf von offiziellen Merchandise.,Мы советуем поддержать серию MOTHER приобретением официальных копий игр или другой официальной продукции.,"Ми рекомендуємо підтримати серію MOTHER, граючи у її ігри офіційними засобами або купуючу офіційну продукцію.",
MENU_LOAD,Load,Charger,Carica,LOAD,불러오기,Cargar,Cargar,Carregar,Wczytaj,Laden,Загрузить,Завантажити,
MENU_SAVE,Save,Sauvegarder,Salvare,SAVE,기록,Guardar,Guardar,Salvar,Zapisać,Speichern,Сохранить,Зберегти,
MENU_YES,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,
MENU_NO,No,Non,No,いいえ,아니오,No,No,Não,Nie,Nein,Нет,Ні,
MENU_YEP,Yep,Ouaip,Sì sì,はい,네,Sip,Sip,Sim,Jest git,Jup,Ага,Ага,
MENU_NOPE,Nope,Nope,No no,いいえ,아니오,Nop,Nop,Não,Chyba nie,Nö,Не-а,Не дуже,
MENU_DONT_CARE,Don't care,Peu importe,Fai tu,おまかせ,맡기기,Decídelo,No me importa,Tanto Faz,Obojętnie,Mir egal,Без разницы,Байдуже,
MENU_BACKSPACE,Backspace,Effacer,Cancella,もどる,지우기,Borrar,Borrar,Apaga,Cofnij,Zurück,Стереть,Стерти,
MENU_OK,OK,OK,Fatto,ＯＫ,OK,Ok,Vale,OK,OK,OK,OK,ОК,
MENU_BACK,Back,Retour,Indietro,もどる,뒤로,Atrás,Atrás,Voltar,Powrót,Zurück,Назад,Назад,
MENU_PRESS,Press [color][ui_accept][/color],Appuyez sur [color][ui_accept][/color],Premi [color][ui_accept][/color],Press [color][ui_accept][/color],[color][ui_accept][/color][ko_part:ui_accept:2] 누르십시오,Presiona [color][ui_accept][/color],Pulsa [color][ui_accept][/color],Pressione [color][ui_accept][/color],Naciśnij [color][ui_accept][/color],Drücke [color][ui_accept][/color],Нажмите [color][ui_accept][/color],Натисніть [color][ui_accept][/color],Press [color][ui_accept][/color]!
MENU_SELECT,Select,Sélection,Seleziona,せんたく,선택,Selecciona,Seleccionar,Selecionar,Wybierz,Auswählen,Выбрать,Вибрати,
MENU_LV,LV,NV,Lv,LV,LV,NV,NV,NV,LV,LV,УР,РІВ,
MENU_SKIP,Skip,Passer,Salta,SKIP,스킵,Saltar,Saltar,Pular,Pomiń,Überspringen,Пропустить,Пропустити,
MENU_HP,HP,PV,PS,HP,HP,PV,PV,HP,HP,KP,ОЗ,ОЗ,
MENU_PP,PP,PP,PP,PP,PP,PP,PP,PP,PP,PP,ОП,ОП,
STAT_LEVEL,Level,Niveau,Livello,ＬＶ,Level,Nivel,Nivel,Nível,Poziom,Level,Уровень,Рівень,
STAT_EXP,EXP,EXP,Esp.,ＥＸ,EXP,EXP,EXP,EXP,EXP,Erf.,Опыт,Досвід,
STAT_HP,HP,PV,PS,ＨＰ,HP,PV,PV,HP,HP,KP,ОЗ,ОЗ,
STAT_PP,PP,PP,PP,ＰＰ,PP,PP,PP,PP,PP,PP,ОП,ОП,
STAT_MAXHP,Max. HP,PV max.,PS max.,ＭＡＸ　ＨＰ,MAX HP,PV máx.,PV máx.,HP máx.,Maks. HP,Max. KP,Макс. ОЗ,Макс. ОЗ,
STAT_MAXPP,Max. PP,PP max.,PP max.,ＭＡＸ　ＰＰ,MAX HP,PP máx.,PP máx.,PP máx.,Maks. PP,Max. PP,Макс. ОП,Макс. ОП,
STAT_OFFENSE,Offense,Attaque,Attacco,オフェンス,오펜스,Ofensa,Fuerza,Ataque,Ofensywa,Angriff,Атака,Атака,
STAT_DEFENSE,Defense,Défense,Difesa,ディフェンス,디펜스,Defensa,Defensa,Defesa,Obrona,Verteidigung,Защита,Захист,
STAT_SPEED,Speed,Vitesse,Velocità,スピード,스피드,Velocidad,Velocidad,Agilidade,Szybkość,Geschwindigkeit,Скорость,Швидкість,
STAT_IQ,IQ,QI,QI,ＩＱ,IQ,IQ,CI,QI,IQ,IQ,IQ,IQ,
STAT_GUTS,Guts,Fougue,Combattività,ガッツ,용기,Coraje,Agallas,Coragem,Odwaga,Mut,Дерзость,Сміливість,
STAT_SHORT_OFFENSE,OFE,ATT,ATT,OFE,OFE,OFE,FUE,ATQ,OFE,ANG,АТК,АТК,
STAT_SHORT_DEFENSE,DEF,DEF,DIF,DEF,DEF,DEF,DEF,DEF,OBR,VER,ЗЩТ,ЗХС,
STAT_SHORT_SPEED,SPD,VIT,VEL,SPD,SPD,VEL,VEL,AGI,SZB,GES,СКР,ШВ,
STAT_SHORT_IQ,IQ,QI,QI,IQ,IQ,IQ,CI,QI,IQ,IQ,IQ,IQ,
STAT_SHORT_GUTS,GUT,FGE,CMB,GUT,GUT,COR,AGL,COR,ODW,MUT,ДРЗ,СМЛ,
SKILLS_FIELD,Field,Terrain,Terreno,フィールド,필드,Campo,Campo,Campo,Pole,Feld,В мире,Поле,
SKILLS_BATTLE,Battle,Combat,Lotta,せんとう,배틀,Combate,Combate,Combate,Walka,Kampf,В битве,Битва,
SKILLS_PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,
SAVE_TIME,Time,Temps,Tempo,TIME,Time,Tiempo,Tiempo,Tempo,Czas,Zeit,Время,Час,
SAVE_TIME_TOO_MUCH,{time} Go outside,{time} d'arrêter,Esci di casa,{time} あそびすぎ,{time} 현생도 살자,Toca pasto,Sal a la calle,Sai da toca,Wyjdź na dwór,{time} Fühle Gras,Выйди на улицу,Вийди на вулицю,
SAVE_PLAY,Play,Jouer,Gioca,つづき,이어서,Jugar,Jugar,Jogar,Graj,Start,Играть,Грати,
SAVE_COPY,Copy,Copier,Copia,うつす,복사,Copiar,Copiar,Copiar,Kopiuj,Kopieren,Копир.,Копіювати,
SAVE_DELETE,Delete,Effacer,Elimina,けす,삭제,Eliminar,Eliminar,Deletar,Usuń,Löschen,Удалить,Стерти,
SAVE_SETTINGS,Settings,Configuration,Impostazioni,せってい,설정,Ajustes,Configuración,Ajustes,Ustawienia,Einstellungen,Настройки,Параметри,
SAVE_SAVECONFIRM,OK to overwrite this file?,Écraser le fichier de sauvegarde ?,Vuoi sovrascrivere questo salvataggio?,データを　うわがきしますか？,파일을 덮어씌우시겠습니까?,¿Sobrescribir archivo?,¿Quieres sobreescribir el archivo?,Salvar por cima?,Czy chcesz nadpisać ten plik?,Datei wirklich überschreiben?,Перезаписать этот файл?,Перезаписати цей файл?,
SAVE_DELETECONFIRM,This will erase this save file.\nIs that okay?,Cette sauvegarde va être supprimée.\nÊtes-vous sûr ?,Questo salvataggio sarà eliminato.\nVa bene?,データは　さくじょされます。\nよろしいでしょうか？,파일을 삭제하시겠습니까?,Borrarás la partida guardada.\n¿Está bien?,Se borrará la partida guardada.\n¿Estás seguro?,Isso vai apagar o arquivo.\nTudo bem?,Spowoduje to usunięcie zapisanego pliku.\nCzy jesteś pewien?,Dies wird diese Speicherdatei löschen.\nIst das in Ordnung?,Файл сохранения будет стёрт.\nПродолжить?,Файл збереження буде видалено.\nВи впевнені?,
SAVE_NODATA,No Data,Aucune donnée,Nessun salvataggio,データなし,데이터 없음,No hay datos,No hay datos,Vazio,Brak danych,Keine Daten,Пусто,Пусто,
MENU_CAPITALSMALL,Capital/Small,Maj/min,Maiuscole/Minuscole,かな・カナ・ＡＢＣ,,Mayús/Min,Mayús/Min,GRANDES/pequenas,Duże/Małe,Groß/Klein,Заглавные/строчные,Великі/малі літери,
MENU_TEXTSPEED,Text Speed,Vitesse du texte,Velocità del testo,メッセージスピード,글자 속도,Velocidad del texto,Velocidad del texto,Velocidade do texto,Szybkość tekstu,Textgeschwindigkeit,Скорость текста,Швидкість тексту,
MENU_FLAVORS,Menu Flavors,Couleur des menus,Gusto delle finestre,ウィンドウタイプ,메뉴 타입,Sabor del menú,Sabor del menú,Sabor da janela,Smaki menu,Menü-Geschmack,Стиль окон,Стиль меню,
MENU_PROMPTS,Button Prompts,Indications de touches,Indicatori dei pulsanti,ボタンひょうじ,버튼 표시,Indicadores de botón,Indicadores de botón,Indicadores,Polecenia przycisków,Knopfanzeige,Подсказки взаим.,Підказки взаєм.,
MENU_END,End,Terminé,Fine,すすむ,완료,Terminar,Terminar,Fim,Zakończ,Ende,Готово,Готово,
MENU_CERTAINTY,Are you sure?,C'est bien ça ?,Va bene così?,よろしいですか？,이걸로 좋습니까?,¿Está bien?,¿Está bien?,Tem certeza?,Na pewno?,Bist du sicher?,Всё верно?,Ви впевнені?,
MENU_BOTH,Both,Toutes,Entrambi,りょうほう,둘 다,Ambos,Ambos,Ambos,Oba,Beide,Все,Усі,
MENU_OBJECTS,Objects,Objets,Oggetti,モノ,오브젝트,Objetos,Objetos,Objetos,Przedmioty,Objekte,Предметы,Предмети,
MENU_NPCS,NPCs,PNJ,NPC,ＮＰＣ,NPC,NPCs,NPCs,NPCs,NPC,NPCs,Перс-жи,Персонажі,
MENU_NONE,None,Aucune,Nessuno,なし,없음,Ninguno,Ninguno,Nenhum,Nic,Keine,Выкл.,Ніякі,
MENU_FAST,Fast,Rapide,Veloce,はやい,빠름,Rápida,Rápida,Rápido,Szybka,Flott,Быстрая,Висока,
MENU_MEDIUM,Medium,Moyenne,Media,ふつう,보통,Mediana,Normal,Médio,Średnia,Mittel,Средняя,Середня,
MENU_SLOW,Slow,Lente,Lenta,おそい,느림,Lenta,Lenta,Lento,Wolna,Lahm,Медленная,Повільна,
MENU_FASTSPD,Fast Speed,Vitesse rapide,Testo veloce,はやいそくど,빠른 속도,Velocidad rápida,Velocidad rápida,Rápido,Szybka prędkość,Flotte Geschwindigkeit,Быстрая скорость,Висока швидкість,
MENU_MEDIUMSPD,Medium Speed,Vitesse moyenne,Testo normale,ふつうのそくど,보통 속도,Velocidad mediana,Velocidad normal,Médio,Średnia prędkość,Mittlere Geschwindigkeit,Средняя скорость,Середня швидкість,
MENU_SLOWSPD,Slow Speed,Vitesse lente,Testo lento,おそいそくど,느린 속도,Velocidad lenta,Velocidad lenta,Lento,Wolna prędkość,Lahme Geschwindigkeit,Медленная скорость,Повільна швидкість,
FLAVOR_PLAIN,Plain,Nature,Naturale,プレーン,플레인,Natural,Básico,Básico,Zwykły,Natürlich,Обычный,Звичайний,
FLAVOR_MINT,Mint,Menthe,Menta,ミント,민트,Menta,Menta,Menta,Miętowy,Minze,Мятный,М'ятний,
FLAVOR_STRAWBERRY,Strawberry,Fraise,Fragola,ストロベリー,스트로베리,Fresa,Fresa,Morango,Truskawkowy,Erdbeere,Клубничный,Полуничний,
FLAVOR_BANANA,Banana,Banane,Banana,バナナ,바나나,Banana,Plátano,Banana,Bananowy,Banane,Банановый,Банановий,
FLAVOR_PEANUT,Peanut,Cacahuète,Arachide,ナッツ,피넛,Maní,Cacahuete,Amendoim,Fistaszkowy,Erdnuss,Арахисовый,Арахісовий,
FLAVOR_GRAPE,Grape,Raisin,Uva,グレープ,포도,Uva,Uva,Uva,Winogronowy,Traube,Виноградный,Виноградний,
FLAVOR_MELON,Melon,Melon,Melone,メロン,멜론,Melón,Sandía,Melancia,Melonowy,Melone,Арбузный,Кавуновий,
NAME_NINTEN0,Ninten,Ninten,Ninten,ニンテン,닌텐,Ninten,Ninten,Ninten,Ninten,Ninten,Нинтен,Нінтен,
NAME_NINTEN1,Ken,Ken,Ken,ケン,켄,Ken,Ken,Ken,Ken,Ken,Кен,Кен,
NAME_NINTEN2,Douglas,Douglas,Douglas,ダグラス,더글러스,Douglas,Douglas,Douglas,Douglas,Don,Дуглас,Дуглас,
NAME_NINTEN3,Jeremy,Jeremy,Jeremy,ジェレミー,제레미,Jeremy,Jeremy,Guri,Jeremy,Jeremy,Джереми,Джеремі,
NAME_NINTEN4,Mark,Mark,Mark,マーク,마크,Mark,Mark,Marcos,Mark,Mark,Марк,Марк,
NAME_NINTEN5,Ryu,Ryu,Ryu,リュウ,류,Ryu,Ryu,Gonzaga,Ryu,Ryu,Рю,Рю,
NAME_NINTEN6,Colin,Colin,Colin,コリン,콜린,Colin,Colin,Colin,Pegaz,Collin,Колин,Колін,
NAME_ANA0,Ana,Ana,Ana,アナ,아나,Ana,Ana,Ana,Ana,Ana,Ана,Ана,
NAME_ANA1,Jill,Jill,Jill,ジル,질,Jill,Jill,Rita,Jill,Jill,Джилл,Джилл,
NAME_ANA2,Sylvia,Sylvia,Sylvia,シルビア,실비아,Sylvia,Sylvia,Alice,Sylwia,Sylvia,Сильвия,Сільвія,
NAME_ANA3,Catrine,Catrine,Catrine,カトリーヌ,카트린,Catrine,Catrine,Catrine,Catrine,Catrina,Кэтрин,Кетрін,
NAME_ANA4,Carrie,Carrie,Carrie,キャリー,캐리,Carrie,Carrie,Mariana,Carrie,Carrie,Кэрри,Керрі,
NAME_ANA5,Nina,Nina,Nina,ニーナ,니나,Nina,Nina,Sofia,Nina,Nina,Нина,Ніна,
NAME_ANA6,Emily,Emily,Emily,エミリー,에밀리,Emily,Emily,Aurora,Emilia,Emily,Эмили,Емілі,
NAME_LLOYD0,Lloyd,Lloyd,Lloyd,ロイド,로이드,Lloyd,Lloyd,Lloyd,Lloyd,Lloyd,Ллойд,Ллойд,
NAME_LLOYD1,Brian,Brian,Brian,ブライアン,브라이언,Brian,Brian,Bruno,Brajan,Brian,Брейн,Браян,
NAME_LLOYD2,Albert,Albert,Albert,アルバート,알버트,Albert,Albert,Alberto,Albert,Albert,Альберт,Альберт,
NAME_LLOYD3,Louis,Louis,Louis,ルイ,루이스,Louis,Louis,Luís,Louis,Luis,Льюис,Льюіс,
NAME_LLOYD4,Kenny,Kenny,Kenny,ケニー,케니,Kenny,Kenny,Kenny,Kenny,Kenny,Кенни,Кенні,
NAME_LLOYD5,Jean,Jean,Jean,ジーン,진,Jean,Jean,Gustavo,Jean,Jean,Джин,Джин,
NAME_LLOYD6,Maxwell,Maxwell,Maxwell,ジャック,맥스웰,Maxwell,Maxwell,Santos,Maxwell,Maxwell,Макс,Макс,
NAME_PIPPI0,Pippi,Fifi,Pippi,ピッピ,삐삐,Pippi,Pippi,Pippi,Pippi,Pippi,Пеппи,Пеппі,
NAME_PIPPI1,Alex,Alex,Alex,アン,알렉스,Alex,Alex,Alex,Alex,Alexa,Алекс,Алекс,
NAME_PIPPI2,Penny,Penny,Penny,ペニー,페니,Penny,Penny,Penny,Penny,Penny,Пэнни,Пенні,
NAME_PIPPI3,Ferris,Ferris,Ferris,フェリス,페리스,Ferris,Ferris,Emília,Ferris,Lilli,Феррис,Ферріс,
