key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
INTRO_CUTSCENE_OLD_01,"In the early 1900's,\na dark shadow covered a small\ncountry town in rural America.","Au début des années 1900,\nune ombre s'étendit au-dessus d'un\npetit bourg d'Amérique rurale.","Nei primi anni del 1900,\nun'ombra oscura comparve su\nuna cittadina rurale in America.",１９００ねんだいのはじめ\nアメリカのいなかまち,1900년대 초\n미국의 한 시골 마을에\n먹구름 같은 그림자가 드리워졌습니다.,"A inicios de 1900,\nuna sombra oscura cubrió\nun pequeño pueblo rural de América.","A principios de los 1900,\nuna oscura sombra se cernió sobre\nun pequeño pueblo rural en América.","No início do século XX,\numa sombra escura cobriu uma pequena\ncidade rural da América.",Na początku XX wieku\nmroczny cień okrył\nmałe miasteczko w Ameryce.,Anfang des 20• Jahrhunderts\nbedeckte ein dunkler Schatten ein\nkleines Dorf im ländlichen Amerika.,В начале 1900-х\nпровинциальный американский\nгородок окутала мрачная тень.,"У ранніх 1990-x,\nмоторошна тінь покрила\nневелике містечко у Америці.",
INTRO_CUTSCENE_OLD_02,The dark shadow formed\nmysteriously at the\nsummit of Mt Itoi.,L'ombre s'était formée\nmystérieusement au sommet\ndu mont Itoi.,L'ombra scura si formò\nmisteriosamente sulla\ncima del Monte Itoi.,くろくものようなかげが\nホーリーローリーマウンテンの\nちょうじょうにおちました。,수상쩍은 어둠이\n홀리롤리 산 정상을 둘러쌌고,La sombra oscura\napareció misteriosamente en\nla cima del Monte Itoi.,La sombra se formó\nmisteriosamente en\nla cima del Monte Itoi.,A sombra se formou\nmisteriosamente no topo\ndo Monte Itoi.,Mroczny cień tajemniczo\npowstał na szczycie góry Itoi.,"Der Schatten bildete\nsich mystisch, nahe\ndes Gipfels am Berg Itoi.",Тень таинственным образом\nнависла над вершиной горы Итои.,Ця тінь таємничо\nсформувалася над\nверхівкою гори Ітой.,The dark shadow formed\nmysteriously at the summit\nof Holy Loly Mountain.
INTRO_CUTSCENE_OLD_03,"At that time,\nnumerous paranormal\nincidents occured.","Au même moment,\nde nombreux incidents paranormaux\nse produisirent.","Poco dopo,\navvennero numerosi\nincidenti paranormali.",とうじ　\nさまざまな　ちょうじょうげんしょうが\nおこっており,"동시에,\n수많은 이상현상들이\n발생하였습니다.","Desde entonces,\nnumerosos incidentes paranormales\nocurrieron.","Desde aquel entonces,\nse produjeron numerosos\nincidentes paranormales.","Desde então,\ndiversos incidentes paranormais\ncomeçaram a acontecer.",Doszło wówczas do wielu\nincydentów paranormalnych.,Obgleich ereigneten sich\nzahlreiche paranormale Aktivitäten.,С этого момента\nстали происходить бесчисленные\nпаранормальные явления.,З того моменту\nвідбулося чимало\nпаранормальних явищ.,
INTRO_CUTSCENE_OLD_04,The last incident\ninvolved the disappearance\nof a young married couple.,Le dernier cas en date\nconcernait la disparition\nd'un jeune couple marié.,L'ultimo di questi\nriguardò la scomparsa di\nuna giovane coppia di sposi.,さいごのじけんでは\nわかいふうふが\nゆくえふめいになりました。,그중 마지막 사건은\n한 젊은 부부의 행방불명과\n관련이 있었습니다.,El último incidente\ninvolucró la desaparición\nde una pareja joven casada.,El último de ellos\ninvolucró la desaparición\nde un joven matrimonio.,O último incidente\nenvolveu o desaparecimento\nde um jovem casal.,Ostatni incydent dotyczył\nzniknięcia młodego małżeństwa.,Im letzteren dieser Vorfälle ist\nein frisch verheiratetes Ehepaar\nverschwunden.,Последним из них стала\nпропажа молодой\nсупружеской пары.,Останній інцидент залучав\nзникнення молодої одруженої пари.,
INTRO_CUTSCENE_OLD_05,The man's name was George.\nThe woman's name was Maria.,"L'homme s'appelait George.\nLa femme, Maria.",L'uomo si chiamava George.\nLa donna si chiamava Maria.,おっとのなは　ジョージ。\nつまのなは　マリア。,남편의 이름은 조지.\n아내의 이름은 마리아.,El hombre se llamaba George.\nLa mujer se llamaba María.,"El hombre se llamaba George.\nLa mujer, María.",O homem se chamava George.\nA mulher se chamava Maria.,"Mężczyzna miał na imię George,\na kobieta Maria.",Der Name des Mannes war George.\nDer Name der Frau Maria.,"Мужчину звали Джордж,\nа женщину — Мария.","Чоловіка звали Джордж,\nа жінку — Марія.",
INTRO_CUTSCENE_OLD_06,"As soon as they disappeared,\nso did the dark shadow.","Au moment où ils disparurent,\nl'ombre fit de même.","Non appena si dileguarono,\naltrettanto fece l'ombra oscura.",ふたりがきえたと　どうじに\nやまのくろくもも　きえました。,그들이 사라지자마자\n어두운 그림자도 함께 사라졌습니다.,"Tan pronto como desaparecieron,\nlo hizo también la sombra.","Tan pronto como desaparecieron,\ntambién lo hizo la sombra.","Quando eles desapareceram,\na sombra também desapareceu.","Gdy tylko zniknęli,\nzniknął też mroczny cień.","So schnell wie sie verschwanden,\nverschwand auch der Schatten.","Как только они исчезли,\nисчезла и мрачная тень.","Як тільки вони зникли,\nзникла і страхітлива тінь.",
INTRO_CUTSCENE_OLD_07,"Two years later,\nas suddenly as he left,\nGeorge returned.","Deux années plus tard,\naussi vite qu'il était parti,\nGeorge réapparut.","Due anni dopo,\ncosì come era scomparso,\nGeorge fece ritorno.",２ねんほどして　ジョージは\nいえにもどりました。,"2년 정도 뒤,\n조지는 집으로 돌아왔습니다만","Dos años después,\ntan de repente como se fue,\nGeorge volvió.","Dos años después,\ntan repentinamente como se fue,\nGeorge volvió.","Dois anos depois,\nda mesma forma como sumiu,\nGeorge retornou.","Dwa lata później,\ntak nagle jak odszedł,\nGeorge powrócił.",Zwei Jahre später tauchte\nGeorge urplötzlich wieder auf.,Через два года столь же\nвнезапно вернулся Джордж.,"Через два роки,\nтак різко як і щез,\nДжордж повернувся.",
INTRO_CUTSCENE_OLD_08,He never told anyone\nwhere he had been\nor what he had done.,Il ne révéla à personne\noù il était allé\net ce qu'il avait fait.,Non disse mai a nessuno\ndove fosse stato\no cosa avesse fatto.,どこにいっていたのか\nなにをしていたのかについて\nだれに　はなすこともなく,"어디에 갔었던 건지,\n뭘 하고 있었는지에 대해서는\n그 누구에게도 말하지 않고",Él nunca le reveló a nadie\ndónde había estado\no que había hecho.,"Él nunca le dijo a nadie\ndónde había estado,\nni lo que había hecho.",Ele nunca contou para ninguém\nonde esteve\ne nem o que fez.,"Nigdy nikomu nie powiedział,\ngdzie był ani co robił.","Er sprach nicht;\nweder wo er war,\nnoch was er tat.","Он никому не говорил о том,\nчто с ним произошло\nи где он пропадал.","Він ніколи нікому не розповів,\nде був і що робив.",
INTRO_CUTSCENE_OLD_09,"But he began an odd\nstudy of psychic powers,\nall by himself.",Mais il s'isola et se\nplongea dans d'étranges recherches\nsur les pouvoirs psychiques.,"Piuttosto, si immerse\nin delle strane ricerche\nsui poteri psichici.",ちょうのうりょくの　けんきゅうに\nぼっとうするようになりました。,이상한 연구에만 몰두하게 되었습니다.,"Aunque comenzó un extraño\nestudio de los poderes psíquicos,\ntodo por su cuenta.",Mas se encerró consigo mismo\nen un extraño estudio sobre\nlos poderes psíquicos.,"Mas ele começou um estranho estudo\nsobre poderes psíquicos,\nsozinho.","Zupełnie sam, rozpoczął\ndziwne badania nad mocami\npsychicznymi.","Doch begann er für sich,\nmit obskuren Studien zu\npsychischen Kräften.","Будучи в полном одиночестве,\nон погрузился в исследования\nэкстрасенсорных способностей.","Але розпочав дивні досліди над\nпсихічними силами,\nзовсім сам.",
INTRO_CUTSCENE_OLD_10,"As for Maria,\nhis wife...","Quant à Maria,\nsa femme...","Quanto a Maria,\nsua moglie...",つまの\nマリアのほうは・・・,"그의 아내,\n마리아는...","En cuanto a María,\nsu esposa...","En cuanto a María,\nsu mujer...","Já a Maria,\nsua esposa...","Jeśli zaś chodzi o\nMarię, jego żonę...","Was Maria,\nseine Frau, betrifft ...","А Мария,\nего супруга...","А Марія,\nйого дружина...",
INTRO_CUTSCENE_OLD_11,She never returned.,Elle ne revint jamais.,Non fece più ritorno.,とうとう　かえっては　きませんでした。,결국 돌아오지 않았습니다.,Ella nunca regresó.,Ella nunca volvió.,Ela nunca voltou.,Nigdy nie powróciła.,Sie kehrte nie zurück.,•••так и не вернулась.,Ніколи не повернулася.,
INTRO_CUTSCENE_OLD_12,80 years have passed\nsince then.,80 ans ont passé depuis.,Sono passati 80 anni\nda allora.,あれから８０ねんが　たち・・・,그 후로\n80년이라는 세월이 흘렀습니다.,80 años pasaron\ndesde entonces.,80 años han pasado\ndesde entonces.,80 anos se passaram\ndesde então.,Od tego czasu minęło 80 lat.,80 Jahre sind seitdem vergangen.,С тех пор прошло 80 лет.,З того часу минуло 80 років.,
INTRO_CUTSCENE_NOW_01,The year is 1988.,Nous sommes en 1988.,Anno 1988.,１９８８ねん,1988년,Es el año 1988.,Año 1988.,O ano é 1988.,Jest rok 1988.,Wir schreiben das Jahr 1988.,1988 год.,Зараз 1988 рік.,
INTRO_CUTSCENE_NOW_02,"Outside Podunk, a small town in America.","Dans les environs de Podunk, une petite ville américaine.","Periferia di Podunk, una cittadina in America.",アメリカ　マザーズデイのまちはずれ,미국 마더즈데이 마을 변두리,"Fuera de Podunk, un pequeño pueblo de América.","En las afueras de Podunk, un pequeño pueblo en América.","Fora de Podunk, uma pequena cidade da América.","Na obrzeżach Podunk,\nmałego miasteczka w Ameryce.","Außerhalb von Podunk,\neiner Kleinstadt in Amerika.","Пригород Поданка, Америка.","У передмісті Поданку,\nмалого містечка у Америці.","Outside Mother's Day, a small town in America."
INTRO_CUTSCENE_PUNCTUATION,".,;:…!?",".,;:…!?",".,;:…!?",".,;:…!?、。・！？．，：；",".,;:…!?、。・！？．，：；",".,;:…!?",".,;:…!?",".,;:…!?",".,;:…!?",".,;:…!?",".,;:…!?—",".,;:…!?—",
